Time [s]	Sensor 1: Pt1000-2wire @Keysight [°C]	Sensor 2: BME280 @I2C [°C]	Sensor 3: DS18B20 @GPIO [°C]	Sensor 4: DS18B20 @GPIO [°C]	Sensor 5: DS18B20 @GPIO [°C]	Sensor 6: OPUS20 @LAN [°C]
6.53	26.0700282	26.32710225293413	25.75	26.0625	25.8125	26.204261779785156
11.24	26.0720981	26.32710225293413	25.75	26.0625	25.8125	26.204261779785156
15.76	26.0755392	26.373278884688624	25.75	26.0625	25.8125	26.204261779785156
20.3	26.0846181	26.419455540017225	25.75	26.0625	25.8125	26.204261779785156
24.89	26.1028957	26.475893706321948	25.75	26.0625	25.8125	26.204261779785156
29.55	26.1114181	26.445109247608343	25.75	26.0625	25.8125	26.204261779785156
34.09	26.115702	26.45023998999968	25.6875	26.0625	25.8125	26.204261779785156
38.69	26.1230165	26.486155194888124	25.75	26.0625	25.8125	26.204261779785156
43.29	26.1357856	26.501547429920173	25.75	26.0625	25.8125	26.204261779785156
47.86	26.1403696	26.47076296247542	25.75	26.0625	25.8125	26.204261779785156
52.43	26.1487917	26.48102445045952	25.75	26.0625	25.8125	26.2005615234375
56.98	26.1523444	26.48102445045952	25.6875	26.0625	25.875	26.2005615234375
61.55	26.201409	26.552854898944496	26.4375	26.5625	26.8125	26.2005615234375
66.24	27.6017118	26.74782354666386	27.875	27.4375	27.6875	26.2005615234375
70.83	28.7110703	26.922269535064697	28.875	28.1875	28.375	26.2005615234375
75.5	29.5338944	26.994100333959796	29.625	28.8125	29.0	26.2005615234375
80.27	30.2056494	27.03001575479866	30.1875	29.375	29.5625	26.2005615234375
84.98	30.7648845	27.096715859905817	30.6875	29.875	30.0625	26.2005615234375
89.74	31.2505867	27.183939148491483	31.0625	30.3125	30.4375	26.2005615234375
94.5	32.0614369	27.25577015518793	31.4375	30.6875	30.75	26.2005615234375
99.14	33.2380444	27.25577015518793	31.6875	31.0	31.0625	26.2005615234375
103.83	33.796789	27.296816470340126	31.9375	31.25	31.3125	26.2005615234375
108.46	34.1377848	27.30707805203856	32.125	31.5	31.5625	26.2005615234375
113.18	34.3932219	27.373778361454605	32.3125	31.75	31.75	26.2005615234375
117.89	34.5817769	27.414824730157854	32.5	31.9375	31.875	26.2005615234375
122.57	34.7228948	27.425086325244045	32.625	32.125	32.0625	26.2005615234375
127.21	34.8383475	27.45587111748755	32.8125	32.25	32.1875	26.2005615234375
131.86	34.7939126	27.48665592020843	32.75	32.3125	32.1875	26.2005615234375
136.37	34.5666279	27.40969393305131	32.6875	32.25	32.0625	26.2005615234375
140.83	34.2947145	27.327601218927885	32.5	32.125	31.9375	26.2005615234375
145.34	34.0432315	27.19933150226716	32.25	32.0	31.8125	26.2005615234375
149.84	33.7559238	27.10184663925902	32.0625	31.875	31.625	26.2005615234375
154.34	33.4632157	27.071061967505376	31.875	31.75	31.5	26.2005615234375
158.86	33.2292859	27.040277306229108	31.6875	31.625	31.3125	26.2005615234375
163.34	33.0014009	26.999231107492232	31.5	31.4375	31.1875	26.2005615234375
167.83	32.7820568	26.937661844311513	31.375	31.375	31.0625	26.2005615234375
172.32	32.5789565	26.947923385264584	31.1875	31.1875	30.9375	26.2005615234375
176.79	32.3649575	26.91200799702201	31.0625	31.125	30.75	26.2005615234375
181.23	32.1718839	26.886354157008462	30.875	30.9375	30.625	26.2005615234375
185.77	32.0084049	26.88122338987887	30.75	30.8125	30.5	26.2005615234375
190.21	31.8641496	26.932531074271537	30.5625	30.6875	30.375	26.2005615234375
194.71	31.6887826	26.9274003045226	30.375	30.5625	30.25	26.2005615234375
199.18	31.5230588	26.95305415617768	30.3125	30.4375	30.125	26.2005615234375
203.68	31.3336094	26.91200799702201	30.1875	30.3125	30.0	26.2005615234375
208.16	31.1691812	26.860700324270873	30.0625	30.1875	29.875	26.2005615234375
212.63	31.007654	26.886354157008462	29.9375	30.0625	29.75	26.2005615234375
217.18	30.845587	26.870961856492794	29.8125	30.0	29.625	26.2005615234375
221.67	30.7105767	26.83504649880924	29.6875	29.875	29.5625	26.2005615234375
226.12	30.5784776	26.82478497066186	29.5	29.75	29.4375	26.2005615234375
230.61	30.4504042	26.84530802812078	29.4375	29.6875	29.3125	26.2005615234375
235.11	30.3120891	26.819654207024723	29.375	29.5625	29.25	26.196861267089844
239.58	30.1839634	26.814523443678628	29.25	29.4375	29.125	26.196861267089844
244.15	30.0553369	26.794000393204623	29.125	29.375	29.0625	26.196861267089844
248.66	29.9180409	26.78886963131372	29.0625	29.3125	29.0	26.196861267089844
253.18	29.7897221	26.76834658666048	29.0	29.25	28.9375	26.196861267089844
257.66	29.6691362	26.778608108405024	28.875	29.1875	28.875	26.196861267089844
262.13	29.5521943	26.78886963131372	28.8125	29.0625	28.75	26.196861267089844
266.7	29.4491273	26.794000393204623	28.75	29.0	28.6875	26.196861267089844
271.22	29.3445482	26.773477347387235	28.625	28.9375	28.625	26.196861267089844
275.72	29.2372925	26.73243126972229	28.5	28.875	28.5625	26.196861267089844
280.22	29.1274932	26.71703899540007	28.4375	28.8125	28.5	26.196861267089844
284.7	29.0481529	26.706777480640447	28.375	28.75	28.375	26.196861267089844
289.26	28.9663331	26.706777480640447	28.375	28.6875	28.3125	26.196861267089844
293.76	28.8682693	26.670862188149478	28.1875	28.625	28.25	26.196861267089844
298.22	28.7811875	26.6759929433465	28.1875	28.625	28.25	26.196861267089844
302.69	28.7049394	26.686254454613664	28.125	28.5	28.1875	26.196861267089844
307.25	28.6229861	26.68112369883456	28.125	28.4375	28.0625	26.196861267089844
311.71	28.5543425	26.686254454613664	28.0	28.375	28.0	26.196861267089844
316.23	28.5017955	26.71190823787474	28.0	28.3125	27.9375	26.196861267089844
320.68	28.4528794	26.76834658666048	27.9375	28.25	27.875	26.196861267089844
325.2	28.3996554	26.76834658666048	27.875	28.1875	27.875	26.196861267089844
329.74	28.3439342	26.79913115538657	27.8125	28.125	27.8125	26.196861267089844
334.22	28.2861525	26.82991573459003	27.75	28.125	27.75	26.196861267089844
338.72	28.2368236	26.840177263319493	27.6875	28.0	27.6875	26.196861267089844
343.17	28.2029197	26.870961856492794	27.625	28.0	27.625	26.196861267089844
347.64	28.1611105	26.88122338987887	27.5625	27.9375	27.625	26.196861267089844
352.15	28.1014327	26.85556955859647	27.5625	27.875	27.625	26.196861267089844
356.61	28.0546654	26.819654207024723	27.5	27.875	27.5	26.196861267089844
361.1	28.015648	26.85556955859647	27.5	27.8125	27.4375	26.196861267089844
365.58	27.9801218	26.876092623040314	27.4375	27.75	27.4375	26.196861267089844
370.05	27.9413534	26.917138765897835	27.375	27.75	27.375	26.196861267089844
374.55	27.8927854	26.917138765897835	27.3125	27.6875	27.375	26.196861267089844
379.09	27.8428352	26.896615692140767	27.3125	27.6875	27.3125	26.196861267089844
383.57	27.7984484	26.932531074271537	27.25	27.625	27.3125	26.196861267089844
388.07	27.7560901	26.932531074271537	27.25	27.625	27.25	26.196861267089844
392.54	27.708186	26.876092623040314	27.25	27.5625	27.25	26.196861267089844
397.03	27.6612964	26.865831090236316	27.1875	27.5625	27.1875	26.196861267089844
401.57	27.6175675	26.82991573459003	27.1875	27.5	27.1875	26.196861267089844
406.05	27.5776994	26.78373886971385	27.125	27.5	27.125	26.196861267089844
410.63	27.5313707	26.752954306226457	27.125	27.4375	27.125	26.196861267089844
415.09	27.4900765	26.74782354666386	27.0625	27.4375	27.0625	26.211933135986328
419.59	27.453637	26.76321582622477	27.0	27.375	27.0625	26.211933135986328
424.14	27.4232732	26.758085066080092	27.0	27.375	27.0625	26.211933135986328
428.69	27.3922788	26.73243126972229	27.0	27.375	27.0625	26.211933135986328
