Time [s]	Sensor 1: Pt1000-2wire @Keysight [°C]	Sensor 2: BME280 @I2C [°C]	Sensor 3: DS18B20 @GPIO [°C]	Sensor 4: DS18B20 @GPIO [°C]	Sensor 5: DS18B20 @GPIO [°C]	Sensor 6: OPUS20 @LAN [°C]
9.21	26.6106306	27.05566963555757	26.0	26.25	26.0625	26.314258575439453
14.0	26.5999963	27.035146530368365	26.0625	26.3125	26.0625	26.314258575439453
18.57	26.6816034	27.060800412582466	26.125	26.4375	26.8125	26.314258575439453
23.21	28.3052003	27.09158508084365	27.75	27.25	28.0625	26.314258575439453
27.87	29.4980003	27.178808364481664	29.0625	28.0625	29.0	26.314258575439453
32.49	30.3759468	27.384039951884187	29.9375	28.75	29.75	26.314258575439453
37.2	31.0149164	27.53283314393484	30.5625	29.3125	30.3125	26.314258575439453
41.93	32.8182013	27.56361797284917	31.0625	29.875	30.75	26.314258575439453
46.6	33.6892363	27.57901039123535	31.5	30.25	31.1875	26.314258575439453
51.22	34.1690774	27.584141197946156	31.75	30.625	31.4375	26.314258575439453
55.86	34.483083	27.640580090973526	32.0625	30.9375	31.75	26.314258575439453
60.52	34.5097042	27.60979523586575	32.1875	31.125	31.75	26.310556411743164
65.17	34.226009	27.50717912784312	32.0625	31.0625	31.625	26.310556411743164
69.65	33.9529388	27.445609518908896	31.875	31.0625	31.5	26.310556411743164
74.12	33.7287679	27.425086325244045	31.75	31.0	31.375	26.310556411743164
78.6	33.5140658	27.414824730157854	31.6875	31.0	31.25	26.310556411743164
83.06	33.300155	27.36351677218918	31.5625	30.9375	31.0625	26.310556411743164
87.55	33.0538388	27.317339634901145	31.375	30.8125	30.9375	26.310556411743164
92.02	32.8555936	27.28655488980585	31.3125	30.75	30.8125	26.310556411743164
96.52	32.6748222	27.312208843324335	31.125	30.625	30.625	26.310556411743164
101.0	32.5088606	27.30707805203856	30.9375	30.5	30.5	26.310556411743164
105.48	32.3530955	27.322470426768994	30.75	30.375	30.375	26.310556411743164
109.95	32.1741889	27.301947261043825	30.625	30.25	30.25	26.310556411743164
114.45	32.0180169	27.322470426768994	30.4375	30.125	30.0625	26.310556411743164
118.92	31.829991	27.271162521187215	30.3125	30.0625	30.0	26.310556411743164
123.39	31.6723941	27.271162521187215	30.1875	29.9375	29.8125	26.310556411743164
127.95	31.4984654	27.276293310435722	30.0625	29.8125	29.75	26.310556411743164
132.46	31.3084674	27.214723858662182	29.9375	29.75	29.625	26.310556411743164
136.91	31.1309862	27.189069932792336	29.8125	29.625	29.5	26.310556411743164
