Time [s]	Time [min]	Sensor 1: Pt100-4wire @Keysight [°C]	Sensor 2: DS18B20 @GPIO [°C]	Sensor 3: DS18B20 @GPIO [°C]
337.61	=A110/60	26.0779861	26.1875	26.5625
340.67	=A111/60	25.991209	26.0625	26.5
343.72	=A112/60	25.9081425	26.0	26.4375
346.76	=A113/60	25.8199792	25.875	26.375
349.79	=A114/60	25.7334187	25.8125	26.3125
352.91	=A115/60	25.649514	25.75	26.1875
355.96	=A116/60	25.563703	25.625	26.125
359.07	=A117/60	25.4731584	25.5625	26.0625
362.07	=A118/60	25.3910521	25.5	26.0
365.15	=A119/60	25.3051247	25.375	25.9375
368.2	=A120/60	25.223783	25.3125	25.875
371.24	=A121/60	25.1392649	25.25	25.8125
374.26	=A122/60	25.0588868	25.125	25.6875
377.31	=A123/60	24.9881181	25.0625	25.625
380.33	=A124/60	24.9220397	25.0	25.5625
383.4	=A125/60	24.8472177	25.0	25.5
386.44	=A126/60	24.774669	24.8125	25.4375
389.46	=A127/60	24.7024121	24.75	25.4375
392.48	=A128/60	24.6316864	24.6875	25.3125
395.56	=A129/60	24.5545491	24.625	25.25
398.64	=A130/60	24.4852595	24.5	25.1875
401.69	=A131/60	24.4161801	24.4375	25.125
404.76	=A132/60	24.3464251	24.375	25.0625
407.74	=A133/60	24.2865229	24.3125	25.0
410.85	=A134/60	24.2236092	24.25	24.9375
413.95	=A135/60	24.1560195	24.1875	24.875
417.16	=A136/60	24.0880198	24.125	24.8125
420.18	=A137/60	24.0227902	24.0625	24.75
423.22	=A138/60	23.9543853	24.0	24.6875
426.26	=A139/60	23.893361	23.9375	24.625
429.31	=A140/60	23.834564	23.8125	24.5625
432.36	=A141/60	23.7793676	23.75	24.5
435.4	=A142/60	23.7236461	23.75	24.4375
438.45	=A143/60	23.6732682	23.6875	24.375
441.55	=A144/60	23.6170129	23.5625	24.375
444.59	=A145/60	23.5472344	23.5625	24.25
447.61	=A146/60	23.4833729	23.5	24.25
450.66	=A147/60	23.4272296	23.4375	24.1875
453.85	=A148/60	23.3700831	23.375	24.125
456.92	=A149/60	23.3205125	23.3125	24.0625
459.93	=A150/60	23.2691282	23.25	24.0
463.01	=A151/60	23.2158902	23.1875	23.9375
466.1	=A152/60	23.1613281	23.125	23.9375
469.23	=A153/60	23.1102021	23.0625	23.875
472.27	=A154/60	23.0611861	23.0625	23.8125
475.3	=A155/60	23.0088992	23.0	23.75
478.37	=A156/60	22.9605991	22.9375	23.6875
481.48	=A157/60	22.9149098	22.875	23.6875
484.51	=A158/60	22.8651568	22.8125	23.625
487.54	=A159/60	22.8131123	22.8125	23.5625
490.58	=A160/60	22.7548949	22.6875	23.5
				
