Time [s]	Voltage set [V]	Voltage measured [V]
29.21	14.0	14.0032
29.34	14.0	14.0032
29.47	14.0	14.0032
29.57	14.0	14.0032
29.67	14.0	14.0032
29.8	14.5	14.0036
29.94	14.5	14.0036
30.07	14.5	14.0036
30.21	14.5	14.5026
30.34	14.5	14.5026
30.48	14.5	14.5026
30.61	14.5	14.5026
30.84	15.0	14.5026
30.97	15.0	14.503
31.09	15.0	14.503
31.22	15.0	14.503
31.36	15.0	15.0019
31.5	15.0	15.0019
31.63	15.0	15.0019
31.82	15.5	15.0019
31.95	15.5	15.0019
32.07	15.5	15.4992
32.17	15.5	15.4992
32.29	15.5	15.4992
32.42	15.5	15.4992
32.54	15.5	15.4992
32.65	15.5	15.4992
32.82	16.0	15.501
32.94	16.0	15.501
33.07	16.0	15.501
33.2	16.0	15.501
33.33	16.0	16.0016
33.43	16.0	16.0016
33.57	16.0	16.0016
33.7	16.0	16.0016
33.81	16.0	16.0016
33.93	16.5	16.0016
34.07	16.5	16.002
34.2	16.5	16.002
34.34	16.5	16.5029
34.48	16.5	16.5029
34.61	16.5	16.5029
34.72	16.5	16.5029
34.93	17.0	16.5029
35.07	17.0	16.5031
35.19	17.0	16.5031
35.32	17.0	16.5031
35.45	17.0	16.5031
35.58	17.0	16.5031
35.71	17.0	17.0035
35.82	17.0	17.0035
35.93	17.5	17.0035
36.03	17.5	17.0035
36.16	17.5	17.5028
36.26	17.5	17.5028
36.37	17.5	17.5028
36.5	17.5	17.5028
36.63	17.5	17.5028
36.78	17.5	17.5028
36.95	18.0	17.5037
37.09	18.0	17.5037
37.21	18.0	17.5037
37.31	18.0	17.5037
37.43	18.0	18.0051
37.54	18.0	18.0051
37.66	18.0	18.0051
37.79	18.0	18.0051
37.97	18.5	18.0051
38.1	18.5	18.0054
38.24	18.5	18.0054
38.37	18.5	18.0054
38.5	18.5	18.5037
38.64	18.5	18.5037
38.77	18.5	18.5037
38.9	18.5	18.5037
39.08	19.0	18.5037
