Time [s]	Sensor 1: Pt100-4wire @Keysight [°C]	Sensor 2: BME280 @I2C [°C]	Sensor 3: DS18B20 @GPIO [°C]	Sensor 4: DS18B20 @GPIO [°C]
308.83	18.743056	18.363953887816752	18.4375	18.1875
311.93	18.7431421	18.358917998359537	18.4375	18.1875
315.05	18.743655	18.353882109193364	18.4375	18.1875
318.18	18.7441921	18.353882109193364	18.4375	18.1875
321.29	18.7440947	18.34381033173413	18.4375	18.1875
324.41	18.7443573	18.353882109193364	18.4375	18.1875
327.54	18.7452356	18.34884622031823	18.4375	18.1875
330.66	18.7452975	18.34381033173413	18.4375	18.1875
333.77	18.7450414	18.34381033173413	18.4375	18.1875
336.89	18.7455708	18.34381033173413	18.4375	18.1875
340.05	18.7466149	18.33877444344107	18.4375	18.1875
343.23	18.7467866	18.34381033173413	18.5	18.1875
346.43	18.7471277	18.33877444344107	18.4375	18.1875
349.55	18.7475928	18.333738555439048	18.4375	18.1875
352.64	18.7472452	18.328702667728066	18.5	18.1875
355.76	18.7477882	18.323666780308123	18.4375	18.1875
358.89	18.7479275	18.318630893179215	18.4375	18.1875
362.03	18.7484952	18.323666780308123	18.5	18.1875
365.15	18.7484291	18.323666780308123	18.5	18.1875
368.25	18.7489225	18.323666780308123	18.5	18.1875
371.39	18.7490099	18.318630893179215	18.5	18.1875
374.53	18.7492165	18.313595006341348	18.4375	18.1875
377.61	18.7501507	18.313595006341348	18.5	18.1875
380.74	18.7498208	18.313595006341348	18.5	18.1875
383.87	18.7505727	18.303523233538726	18.4375	18.1875
386.99	18.750028	18.308559119794516	18.5	18.1875
390.1	18.750882	18.308559119794516	18.5	18.1875
393.22	18.7506081	18.303523233538726	18.5	18.1875
396.29	18.7513034	18.308559119794516	18.5	18.1875
399.47	18.7521344	18.303523233538726	18.5	18.1875
402.58	18.7520429	18.303523233538726	18.5	18.1875
405.7	18.7523905	18.298487347573975	18.5	18.1875
408.83	18.752282	18.293451461900258	18.5	18.1875
411.94	18.7526886	18.303523233538726	18.5	18.25
415.05	18.7534346	18.293451461900258	18.4375	18.1875
418.19	18.7530575	18.293451461900258	18.5	18.1875
421.3	18.7535155	18.293451461900258	18.5	18.1875
424.4	18.754327	18.298487347573975	18.5	18.1875
427.56	18.7536719	18.293451461900258	18.5	18.1875
430.66	18.7536424	18.283379691425942	18.5	18.25
433.85	18.7541004	18.293451461900258	18.5	18.25
436.96	18.7549319	18.273307922115784	18.5	18.25
440.09	18.7550529	18.278343806625344	18.5	18.1875
443.21	18.7551621	18.278343806625344	18.5	18.1875
446.32	18.7554431	18.273307922115784	18.5	18.1875
449.46	18.7564021	18.278343806625344	18.5	18.1875
452.53	18.7556384	18.26827203789726	18.5	18.1875
455.61	18.7559512	18.278343806625344	18.5	18.1875
458.74	18.7562434	18.26827203789726	18.5	18.1875
461.87	18.7564871	18.273307922115784	18.5	18.1875
464.94	18.756542	18.263236153969775	18.5	18.1875
468.01	18.7570803	18.273307922115784	18.5	18.1875
471.15	18.7576174	18.26827203789726	18.5	18.25
474.25	18.7573783	18.273307922115784	18.5	18.1875
477.38	18.7576398	18.263236153969775	18.5	18.25
480.51	18.7580128	18.26827203789726	18.5	18.25
483.64	18.7580742	18.263236153969775	18.5	18.1875
486.73	18.7578369	18.273307922115784	18.5	18.1875
489.85	18.7585151	18.26827203789726	18.5	18.25
493.0	18.7587647	18.26827203789726	18.5	18.1875
496.08	18.7587222	18.26827203789726	18.5	18.1875
499.22	18.759722	18.26827203789726	18.5	18.1875
502.33	18.7596801	18.273307922115784	18.5	18.1875
505.44	18.7596783	18.263236153969775	18.5	18.25
508.54	18.7596671	18.263236153969775	18.5	18.25
511.62	18.7598507	18.25316438698792	18.5	18.25
514.73	18.7602225	18.263236153969775	18.5	18.1875
517.87	18.7600089	18.263236153969775	18.5	18.1875
520.97	18.7609119	18.25316438698792	18.5	18.25
524.07	18.7602609	18.263236153969775	18.5	18.25
527.22	18.7613226	18.258200270333326	18.5	18.25
530.33	18.7615422	18.263236153969775	18.5	18.25
533.46	18.7613704	18.263236153969775	18.5	18.25
536.57	18.7616756	18.25316438698792	18.5	18.1875
539.7	18.7618957	18.24812850393355	18.5	18.25
542.91	18.7621224	18.258200270333326	18.5	18.25
546.02	18.7623655	18.25316438698792	18.5	18.25
549.16	18.7622498	18.25316438698792	18.5	18.25
552.27	18.7625432	18.25316438698792	18.5	18.25
555.4	18.7633104	18.243092621170216	18.5	18.25
558.49	18.7636433	18.25316438698792	18.5	18.25
561.65	18.763831	18.243092621170216	18.5	18.1875
564.7	18.7637708	18.243092621170216	18.5	18.1875
567.88	18.7635501	18.243092621170216	18.5	18.1875
570.98	18.7639715	18.243092621170216	18.5	18.25
574.1	18.7638192	18.243092621170216	18.5	18.25
577.21	18.7643864	18.243092621170216	18.5	18.25
580.33	18.7645747	18.233020856516667	18.5	18.25
583.47	18.7648627	18.243092621170216	18.5	18.25
586.65	18.7649665	18.243092621170216	18.5	18.25
589.78	18.7649235	18.243092621170216	18.5	18.25
592.89	18.7647653	18.233020856516667	18.5	18.25
596.03	18.765241	18.238056738697924	18.5	18.25
599.14	18.7651796	18.233020856516667	18.5	18.1875
602.27	18.7659486	18.233020856516667	18.5	18.25
605.33	18.7654912	18.233020856516667	18.5	18.25
608.43	18.7657297	18.233020856516667	18.5	18.25
611.55	18.766144	18.233020856516667	18.5	18.25
614.68	18.7662904	18.233020856516667	18.5	18.25
617.8	18.7657556	18.233020856516667	18.5	18.25
620.86	18.7664999	18.22798497462645	18.5	18.25
623.96	18.7665713	18.238056738697924	18.5	18.25
627.06	18.7668906	18.238056738697924	18.5	18.25
630.18	18.7674212	18.222949093027275	18.5	18.25
633.31	18.7673167	18.222949093027275	18.5	18.25
636.41	18.7670364	18.22798497462645	18.5	18.25
639.54	18.7673787	18.233020856516667	18.5	18.25
642.68	18.7677995	18.22798497462645	18.5	18.25
645.8	18.7679707	18.222949093027275	18.5	18.25
648.89	18.7673161	18.233020856516667	18.5	18.25
652.0	18.7680563	18.222949093027275	18.5	18.25
655.13	18.7679884	18.222949093027275	18.5	18.25
658.27	18.7677765	18.222949093027275	18.5	18.25
661.38	18.7678485	18.222949093027275	18.5	18.25
664.51	18.7685626	18.222949093027275	18.5	18.25
667.62	18.7683	18.233020856516667	18.5	18.25
670.74	18.7689345	18.22798497462645	18.5	18.25
673.85	18.768928	18.222949093027275	18.5	18.25
676.93	18.7687031	18.222949093027275	18.5	18.25
680.02	18.7691924	18.222949093027275	18.5	18.25
683.12	18.7692278	18.21287733070203	18.5	18.25
686.25	18.7692101	18.222949093027275	18.5	18.25
689.38	18.7689764	18.222949093027275	18.5	18.25
692.45	18.7693689	18.21287733070203	18.5	18.25
695.63	18.7694167	18.21287733070203	18.5	18.25
698.75	18.7698682	18.217913211719132	18.5	18.25
701.86	18.7695937	18.217913211719132	18.5	18.25
704.94	18.7704737	18.21287733070203	18.5	18.25
708.02	18.7702412	18.21287733070203	18.5	18.25
711.12	18.770443	18.222949093027275	18.5	18.25
714.27	18.7702967	18.217913211719132	18.5	18.25
717.39	18.7703026	18.263236153969775	18.5	18.25
720.49	18.7731344	18.26827203789726	18.5	18.25
723.6	18.7771891	18.263236153969775	18.5	18.25
726.73	18.7783848	18.293451461900258	18.5	18.25
729.85	18.7788298	18.313595006341348	18.5	18.25
732.93	18.7797039	18.323666780308123	18.5	18.25
736.01	18.780058	18.328702667728066	18.5	18.25
739.15	18.7802274	18.353882109193364	18.5	18.25
742.27	18.780192	18.363953887816752	18.5	18.25
745.39	18.780797	18.363953887816752	18.5	18.25
748.54	18.7813583	18.374025667604293	18.5	18.25
751.6	18.7819249	18.368989777565	18.5	18.25
754.73	18.7816581	18.384097448555984	18.5625	18.25
757.86	18.7820795	18.38913333946839	18.5	18.25
760.97	18.7822194	18.374025667604293	18.5	18.25
764.12	18.7826278	18.39416923067183	18.5625	18.25
767.23	18.7827488	18.39416923067183	18.5	18.25
770.34	18.7832186	18.39416923067183	18.5625	18.25
