Time [s]	Sensor 1: BME280 @I2C [°C]	Sensor 2: DS18B20 @GPIO [°C]	Sensor 3: DS18B20 @GPIO [°C]	Sensor 4: DS18B20 @GPIO [°C]	Sensor 5: OPUS20 @LAN [°C]
4.27	24.254308841004967	24.5	24.5	24.3125	24.3579158782959
8.13	24.25943945912295	24.5	24.5	24.25	24.3579158782959
11.88	24.26457007753197	24.625	24.5	24.25	24.3579158782959
15.67	24.279961934505263	24.5625	24.5	24.25	24.3579158782959
19.52	24.28509255407844	24.5625	24.5	24.25	24.36930274963379
23.32	24.28509255407844	24.625	24.5	24.3125	24.36930274963379
27.08	24.27483131522313	24.625	24.5	24.25	24.36930274963379
30.84	24.27483131522313	24.5625	24.5	24.25	24.36930274963379
34.6	24.254308841004967	24.5625	24.5	24.25	24.36930274963379
38.36	24.26457007753197	24.6875	24.5	24.25	24.36930274963379
42.13	24.28509255407844	24.625	24.5	24.3125	24.36930274963379
45.88	24.29022317394265	24.625	24.5	24.25	24.36930274963379
49.63	24.315876277629286	24.5625	24.5	24.25	24.36930274963379
53.39	24.321006899239727	24.625	24.5	24.25	24.36930274963379
57.17	24.305615035281516	24.625	24.5	24.25	24.36930274963379
60.89	24.305615035281516	24.5625	24.5	24.3125	24.36930274963379
64.71	24.2953537940979	24.625	24.5	24.25	24.36930274963379
68.53	24.305615035281516	24.5625	24.5	24.25	24.36930274963379
72.37	24.305615035281516	24.625	24.5	24.25	24.36930274963379
76.13	24.315876277629286	24.5625	24.5	24.3125	24.36930274963379
79.88	24.310745656309884	24.625	24.5	24.3125	24.380685806274414
83.64	24.30048441454419	24.5625	24.5	24.3125	24.380685806274414
87.42	24.310745656309884	24.625	24.5	24.25	24.380685806274414
91.17	24.2953537940979	24.5625	24.5	24.3125	24.380685806274414
94.92	24.305615035281516	24.625	24.5	24.3125	24.380685806274414
98.69	24.29022317394265	24.5625	24.5	24.3125	24.380685806274414
102.46	24.28509255407844	24.5625	24.5	24.3125	24.380685806274414
106.19	24.279961934505263	24.5625	24.5	24.25	24.380685806274414
109.97	24.26457007753197	24.5625	24.5	24.3125	24.380685806274414
