Time [s]	Sensor 1: Pt100-4wire @Keysight [°C]	Sensor 2: DS18B20 @GPIO [°C]	Sensor 3: DS18B20 @GPIO [°C]
432.98	23.5583519	23.3125	23.0
436.09	23.5131444	23.25	23.0
439.22	23.469245	23.25	22.9375
442.34	23.4259642	23.25	22.875
445.48	23.3822562	23.125	22.875
448.57	23.3376894	23.0625	22.8125
451.69	23.2944228	23.0625	22.8125
454.79	23.2522571	23.0	22.75
457.84	23.2105784	22.9375	22.6875
460.85	23.1694031	22.9375	22.6875
463.93	23.1266759	22.875	22.625
467.05	23.0847558	22.8125	22.5625
470.18	23.043159	22.8125	22.5625
473.27	23.0026281	22.75	22.5
476.33	22.9617739	22.6875	22.5
479.46	22.9202873	22.6875	22.4375
482.58	22.8792337	22.625	22.4375
485.7	22.8414455	22.625	22.375
488.82	22.8058996	22.5625	22.375
491.92	22.7697603	22.5	22.3125
494.96	22.7336372	22.5	22.25
498.08	22.6949732	22.4375	22.25
501.19	22.6574228	22.4375	22.1875
504.26	22.617709	22.375	22.1875
507.45	22.5797979	22.3125	22.125
510.57	22.5432143	22.3125	22.125
513.69	22.5060869	22.25	22.0625
516.81	22.4690698	22.25	22.0
519.94	22.4313263	22.1875	22.0
523.05	22.3946699	22.1875	22.0
526.17	22.3597987	22.125	21.9375
529.28	22.3259235	22.0625	21.875
532.33	22.2949223	22.0625	21.875
535.44	22.2642736	22.0625	21.875
538.48	22.2351565	22.0	21.8125
541.54	22.2052291	21.9375	21.8125
544.64	22.1754396	21.9375	21.75
547.67	22.1477761	21.9375	21.75
550.7	22.1195184	21.875	21.6875
553.76	22.0910011	21.8125	21.6875
556.77	22.0632573	21.8125	21.625
559.84	22.0353921	21.8125	21.625
562.96	22.0076499	21.75	21.625
566.01	21.9802991	21.75	21.5625
569.13	21.9535044	21.6875	21.5625
572.2	21.9260317	21.6875	21.5
575.37	21.8992026	21.625	21.5
578.5	21.8728959	21.625	21.4375
581.6	21.8468169	21.5625	21.4375
584.63	21.8213134	21.5625	21.4375
587.7	21.7957594	21.5	21.375
590.81	21.7703041	21.5	21.375
593.94	21.7449165	21.4375	21.3125
597.07	21.7189619	21.4375	21.3125
600.18	21.6944228	21.4375	21.3125
603.28	21.6701664	21.375	21.25
606.42	21.6458846	21.375	21.25
609.54	21.6226321	21.3125	21.25
612.6	21.5982893	21.3125	21.1875
615.68	21.5744978	21.3125	21.1875
618.73	21.5517821	21.25	21.125
621.84	21.5286436	21.25	21.125
624.89	21.5055419	21.25	21.125
628.01	21.4830293	21.1875	21.0625
631.14	21.4613999	21.1875	21.0625
634.24	21.4382455	21.125	21.0625
637.28	21.4148999	21.125	21.0
640.33	21.3917895	21.125	21.0
643.46	21.3692753	21.0625	20.9375
646.59	21.3479975	21.0625	20.9375
649.7	21.3264422	21.0625	20.9375
652.83	21.3053341	21.0	20.875
655.93	21.2853691	21.0	20.875
659.04	21.2662961	20.9375	20.875
662.08	21.2478717	20.9375	20.8125
665.11	21.2296157	20.9375	20.8125
668.15	21.2097007	20.9375	20.8125
671.28	21.187535	20.875	20.75
674.33	21.165787	20.875	20.75
677.46	21.1457815	20.8125	20.75
680.57	21.1261352	20.8125	20.6875
683.67	21.1066283	20.8125	20.6875
686.73	21.0871092	20.8125	20.6875
689.85	21.0682635	20.75	20.6875
692.97	21.0476473	20.75	20.625
696.08	21.0291426	20.6875	20.625
699.22	21.0109823	20.6875	20.625
702.32	20.992717	20.6875	20.5625
705.38	20.9739019	20.6875	20.5625
708.48	20.9568587	20.625	20.5625
711.68	20.9394247	20.625	20.5
714.72	20.9221797	20.625	20.5
717.84	20.9034388	20.5625	20.5
720.89	20.8847448	20.5625	20.5
723.96	20.8667388	20.5625	20.4375
727.12	20.8495343	20.5625	20.4375
730.24	20.8325107	20.5	20.4375
733.3	20.8140709	20.5	20.4375
736.42	20.7972913	20.5	20.375
739.52	20.7788666	20.5	20.375
742.64	20.7619655	20.4375	20.375
745.77	20.7451011	20.4375	20.375
748.89	20.7296093	20.4375	20.3125
752.0	20.7149082	20.375	20.3125
755.04	20.700059	20.375	20.3125
758.16	20.6844641	20.375	20.3125
761.21	20.6687676	20.375	20.25
764.33	20.6528911	20.375	20.25
767.46	20.6382606	20.3125	20.25
770.56	20.6244086	20.3125	20.25
773.77	20.6095001	20.3125	20.1875
776.88	20.5958159	20.3125	20.1875
779.89	20.5824766	20.25	20.1875
783.03	20.5694917	20.25	20.125
786.1	20.5562174	20.25	20.125
789.22	20.5434753	20.1875	20.125
792.33	20.5306996	20.1875	20.125
795.46	20.5178111	20.1875	20.125
798.58	20.5049616	20.1875	20.125
801.69	20.4924937	20.1875	20.0625
804.82	20.4794122	20.125	20.0625
807.92	20.4666775	20.125	20.0625
811.05	20.4530859	20.125	20.0625
814.17	20.4396439	20.125	20.0
817.29	20.426787	20.125	20.0
820.36	20.4126353	20.0625	20.0
823.52	20.3983673	20.0625	20.0
826.64	20.3835254	20.0625	19.9375
829.77	20.3692581	20.0625	19.9375
832.9	20.3573983	20.0	19.9375
836.01	20.3451641	20.0	19.9375
839.12	20.333077	20.0	19.9375
842.18	20.3213519	20.0	19.9375
845.36	20.31015	20.0	19.875
848.41	20.298503	19.9375	19.875
851.52	20.2869717	19.9375	19.875
854.56	20.276498	19.9375	19.875
857.6	20.2655206	19.9375	19.8125
860.63	20.255054	19.9375	19.8125
863.7	20.2444635	19.9375	19.8125
866.81	20.2330115	19.875	19.8125
869.92	20.2221985	19.875	19.8125
872.98	20.2104761	19.875	19.8125
876.1	20.1988743	19.875	19.75
879.22	20.1864459	19.875	19.75
882.34	20.1752698	19.875	19.75
885.44	20.1638358	19.8125	19.75
888.57	20.1532703	19.8125	19.75
891.68	20.1422644	19.8125	19.75
894.73	20.131088	19.8125	19.75
897.84	20.1193872	19.8125	19.6875
900.9	20.1084688	19.75	19.6875
904.0	20.0978144	19.75	19.6875
907.04	20.0880037	19.75	19.6875
910.09	20.0781523	19.75	19.6875
913.2	20.067704	19.75	19.6875
916.26	20.0571289	19.75	19.625
919.36	20.0465425	19.75	19.625
922.41	20.0366659	19.75	19.625
925.52	20.027248	19.6875	19.625
928.58	20.0186142	19.6875	19.625
931.65	20.0093564	19.6875	19.625
934.72	20.0003372	19.6875	19.625
937.84	19.9915122	19.6875	19.5625
940.89	19.9827038	19.6875	19.5625
944.03	19.9742526	19.6875	19.5625
947.09	19.9656668	19.625	19.5625
950.28	19.9573119	19.625	19.5625
953.38	19.9492144	19.625	19.5625
956.49	19.9412953	19.625	19.5625
959.61	19.9333011	19.625	19.5625
962.73	19.9252769	19.625	19.5
965.85	19.9180332	19.5625	19.5
968.97	19.9093236	19.5625	19.5
972.06	19.902106	19.5625	19.5
975.23	19.8940694	19.5625	19.5
978.34	19.8852465	19.5625	19.5
981.46	19.8778571	19.5625	19.4375
984.57	19.8687402	19.5	19.4375
987.69	19.8605915	19.5	19.4375
990.82	19.8519582	19.5	19.4375
993.94	19.8447885	19.5	19.4375
997.04	19.8367515	19.5	19.4375
1000.18	19.8293014	19.5	19.4375
1003.29	19.8219629	19.5	19.375
1006.41	19.8141219	19.5	19.375
1009.53	19.8072339	19.5	19.375
1012.65	19.7997957	19.5	19.375
1015.78	19.7935742	19.4375	19.375
1018.92	19.7867459	19.4375	19.375
1022.02	19.7798703	19.4375	19.375
1025.12	19.7735621	19.4375	19.375
1028.12	19.7661121	19.4375	19.375
1031.21	19.7594255	19.4375	19.3125
1034.33	19.7528304	19.4375	19.3125
1037.44	19.7464608	19.4375	19.3125
1040.48	19.7400063	19.375	19.3125
1043.52	19.7335447	19.375	19.3125
1046.56	19.7271958	19.375	19.3125
1049.61	19.7205205	19.375	19.3125
1052.72	19.7137679	19.375	19.3125
1055.78	19.7066722	19.375	19.3125
1058.91	19.6997579	19.375	19.3125
1062.02	19.6932922	19.375	19.25
1065.12	19.6868324	19.375	19.25
1068.23	19.6812074	19.3125	19.25
1071.32	19.6743805	19.3125	19.25
1074.42	19.6685495	19.3125	19.25
1077.53	19.6620591	19.3125	19.25
1080.65	19.6552245	19.3125	19.25
1083.73	19.6497961	19.3125	19.25
1086.82	19.6435142	19.3125	19.25
1089.93	19.636816	19.3125	19.1875
1093.05	19.6298964	19.3125	19.1875
1096.17	19.624523	19.3125	19.1875
1099.3	19.6186963	19.25	19.1875
1102.41	19.6126706	19.25	19.1875
1105.53	19.6069359	19.25	19.1875
1108.67	19.6008919	19.25	19.1875
1111.78	19.5947369	19.25	19.125
1114.88	19.5893146	19.25	19.125
1117.94	19.5832695	19.25	19.125
1121.06	19.5775171	19.25	19.125
1124.12	19.5717825	19.25	19.125
1127.2	19.5667687	19.25	19.125
1130.26	19.5611888	19.25	19.125
1133.4	19.5551939	19.1875	19.125
1136.49	19.5496123	19.1875	19.125
1139.59	19.5438169	19.1875	19.125
1142.65	19.5391644	19.1875	19.125
1145.78	19.5340108	19.1875	19.125
1148.88	19.5284044	19.1875	19.125
1151.99	19.5226161	19.1875	19.125
1155.06	19.5182329	19.1875	19.125
1158.18	19.5125515	19.1875	19.0625
1161.28	19.5071559	19.1875	19.0625
1164.42	19.5012201	19.1875	19.0625
1167.53	19.4956214	19.125	19.0625
1170.65	19.4908096	19.125	19.0625
1173.78	19.485345	19.125	19.0625
1176.9	19.4797776	19.125	19.0625
1179.97	19.4743672	19.125	19.0625
1183.14	19.4696033	19.125	19.0625
1186.26	19.4637597	19.125	19.0625
1189.38	19.4577697	19.125	19.0
1192.48	19.4527324	19.125	19.0625
1195.61	19.447707	19.125	19.0625
1198.74	19.4431651	19.125	19.0
1201.85	19.4381149	19.125	19.0
1204.97	19.4339874	19.125	19.0
1208.07	19.4286096	19.0625	19.0
1211.15	19.4233935	19.0625	19.0
1214.24	19.4198835	19.0625	19.0
1217.38	19.4150417	19.0625	19.0
1220.5	19.4109266	19.0625	19.0
1223.62	19.4065365	19.0625	19.0
1226.72	19.4024875	19.0625	19.0
1229.75	19.3979515	19.0625	19.0
1232.8	19.3930047	19.0625	19.0
1235.85	19.3884268	19.0625	19.0
1238.96	19.383254	19.0625	19.0
1242.02	19.3782216	19.0625	18.9375
1245.14	19.3729111	19.0625	18.9375
1248.25	19.367923	19.0625	18.9375
1251.37	19.3629037	19.0625	18.9375
1254.48	19.3584097	19.0625	18.9375
1257.54	19.3541364	19.0	18.9375
1260.62	19.3494075	19.0	18.9375
1263.69	19.3443533	19.0	18.9375
1266.82	19.3408251	19.0	18.9375
1269.93	19.335775	19.0	18.9375
1273.06	19.3318377	19.0	18.9375
1276.18	19.3281295	19.0	18.9375
1279.28	19.3251384	19.0	18.9375
1282.34	19.3215063	19.0	18.9375
1285.46	19.3175731	19.0	18.9375
1288.58	19.3147155	19.0	18.9375
1291.69	19.31095	19.0	18.875
1294.82	19.3077553	19.0	18.875
1297.94	19.3041657	19.0	18.875
1301.05	19.3006552	19.0	18.875
1304.18	19.2977563	19.0	18.875
1307.3	19.2940244	18.9375	18.875
1310.42	19.2901485	18.9375	18.875
1313.55	19.2869604	18.9375	18.875
1316.61	19.2844073	18.9375	18.875
1319.7	19.2815639	18.9375	18.875
1322.82	19.2787352	18.9375	18.875
1325.94	19.2748216	18.9375	18.875
1329.06	19.2714339	18.9375	18.875
1332.17	19.2688868	18.9375	18.875
1335.3	19.2659938	18.9375	18.875
1338.43	19.2626356	18.9375	18.875
1341.56	19.2592539	18.9375	18.875
1344.68	19.2566879	18.9375	18.875
1347.75	19.2536538	18.9375	18.875
1350.87	19.2503635	18.9375	18.875
1353.92	19.2472799	18.9375	18.8125
1356.92	19.2444052	18.9375	18.8125
1360.02	19.2420659	18.9375	18.8125
1363.12	19.2391953	18.875	18.8125
1366.25	19.2359246	18.875	18.8125
1369.36	19.2328828	18.875	18.8125
1372.36	19.2298488	18.875	18.8125
1375.46	19.2276145	18.875	18.8125
1378.58	19.2245988	18.875	18.8125
1381.68	19.2214833	18.875	18.8125
1384.82	19.2189929	18.875	18.8125
1387.94	19.2164399	18.875	18.8125
1391.05	19.2141384	18.875	18.8125
1394.16	19.21155	18.875	18.8125
1397.19	19.2082881	18.875	18.8125
1400.27	19.2058721	18.875	18.8125
1403.36	19.2029473	18.875	18.8125
1406.4	19.2010655	18.875	18.8125
1409.43	19.198483	18.875	18.75
1412.48	19.1952967	18.875	18.8125
1415.62	19.1930501	18.875	18.75
1418.82	19.1903159	18.8125	18.75
1421.93	19.1878244	18.8125	18.75
1425.05	19.1849427	18.8125	18.75
1428.16	19.1833253	18.8125	18.75
1431.3	19.1800091	18.8125	18.75
1434.41	19.1769557	18.8125	18.75
1437.53	19.1740981	18.8125	18.75
1440.64	19.1710754	18.8125	18.75
1443.71	19.1682993	18.8125	18.75
1446.83	19.1654034	18.8125	18.75
1449.92	19.1627419	18.8125	18.75
1452.98	19.1602397	18.8125	18.75
1456.1	19.157737	18.8125	18.75
1459.21	19.1554225	18.8125	18.75
1462.32	19.1532663	18.8125	18.75
1465.46	19.1503739	18.8125	18.75
1468.58	19.1484668	18.8125	18.75
1471.68	19.145928	18.8125	18.75
1474.73	19.1445858	18.8125	18.75
1477.84	19.1417348	18.8125	18.75
1480.9	19.1392568	18.8125	18.75
1484.02	19.1362211	18.8125	18.75
1487.14	19.1341333	18.8125	18.6875
1490.23	19.1316719	18.8125	18.6875
1493.29	19.1293097	18.8125	18.6875
1496.42	19.127203	18.8125	18.6875
1499.53	19.1248956	18.75	18.6875
1502.65	19.1222029	18.75	18.6875
1505.78	19.1204628	18.75	18.6875
1508.84	19.1177836	18.75	18.6875
1511.93	19.1152071	18.75	18.6875
1515.06	19.1135891	18.75	18.6875
1518.17	19.1110486	18.75	18.6875
1521.26	19.1095163	18.75	18.6875
1524.32	19.1063106	18.75	18.6875
1527.35	19.104083	18.75	18.6875
1530.42	19.1009865	18.75	18.6875
1533.54	19.0982819	18.75	18.6875
1536.64	19.0960354	18.75	18.6875
1539.76	19.0938933	18.75	18.6875
1542.81	19.0910176	18.75	18.6875
1545.93	19.0887769	18.75	18.6875
1549.05	19.0861137	18.75	18.6875
1552.17	19.0846847	18.75	18.6875
1555.3	19.0827604	18.75	18.6875
1558.41	19.080838	18.75	18.6875
1561.49	19.0790631	18.75	18.6875
1564.52	19.0771217	18.75	18.6875
1567.7	19.0751001	18.75	18.6875
1570.81	19.0730064	18.75	18.625
1573.94	19.0717474	18.75	18.625
1577.05	19.0699772	18.75	18.6875
1580.18	19.067543	18.6875	18.625
1583.27	19.066101	18.75	18.625
1586.32	19.0634514	18.6875	18.625
1589.46	19.0623695	18.75	18.625
1592.56	19.0599594	18.6875	18.625
1595.7	19.0578841	18.6875	18.625
1598.82	19.0558625	18.6875	18.625
1601.93	19.0535056	18.6875	18.625
1605.03	19.0513506	18.6875	18.625
1608.07	19.0493857	18.6875	18.625
1611.12	19.0471014	18.6875	18.625
1614.15	19.0447888	18.6875	18.625
1617.2	19.0432954	18.6875	18.625
1620.28	19.0421687	18.6875	18.625
1623.37	19.0398791	18.6875	18.625
1626.48	19.0381101	18.6875	18.625
1629.62	19.0363033	18.6875	18.625
1632.72	19.0351724	18.6875	18.625
1635.85	19.0333332	18.6875	18.625
1638.95	19.0311257	18.6875	18.625
1641.96	19.0295999	18.6875	18.625
1645.09	19.0283533	18.6875	18.625
1648.18	19.0269656	18.6875	18.625
1651.29	19.0248608	18.6875	18.625
1654.42	19.0227536	18.6875	18.625
1657.54	19.0205449	18.6875	18.625
1660.62	19.0189737	18.6875	18.625
1663.68	19.0166912	18.6875	18.625
1666.72	19.0151406	18.6875	18.625
1669.78	19.0132784	18.6875	18.625
1672.9	19.0122779	18.6875	18.625
1676.0	19.010202	18.6875	18.625
1679.13	19.0086019	18.6875	18.625
1682.26	19.0068264	18.6875	18.5625
1685.38	19.0045858	18.6875	18.625
1688.48	19.0032849	18.6875	18.5625
1691.54	19.0021003	18.6875	18.5625
1694.66	19.0011601	18.6875	18.5625
1697.75	18.9997742	18.625	18.5625
1700.9	18.9979238	18.625	18.5625
1704.02	18.9961294	18.6875	18.5625
1707.12	18.9941279	18.6875	18.5625
1710.16	18.9928441	18.625	18.5625
1713.22	18.9911112	18.6875	18.5625
1716.33	18.9902742	18.625	18.5625
1719.44	18.9878212	18.625	18.5625
1722.44	18.9869063	18.625	18.5625
1725.52	18.9849083	18.625	18.5625
1728.58	18.9833454	18.625	18.5625
1731.65	18.981806	18.625	18.5625
1734.72	18.9802006	18.625	18.5625
1737.78	18.9787362	18.625	18.5625
1740.9	18.9768368	18.625	18.5625
1744.01	18.9757384	18.625	18.5625
1747.08	18.9747373	18.625	18.5625
1750.25	18.9732529	18.625	18.5625
1753.36	18.9715135	18.625	18.5625
1756.41	18.9709096	18.625	18.5625
1759.52	18.9698047	18.625	18.5625
1762.57	18.9682424	18.625	18.5625
1765.7	18.9667644	18.625	18.5625
1768.81	18.9656152	18.625	18.5625
1771.95	18.96409	18.625	18.5625
1775.06	18.9629969	18.625	18.5625
1778.18	18.9612569	18.625	18.5625
1781.3	18.9599454	18.625	18.5625
1784.42	18.9585719	18.625	18.5
1787.5	18.9576913	18.625	18.5625
1790.59	18.9561832	18.625	18.5
1793.77	18.9539073	18.625	18.5625
1796.96	18.952911	18.625	18.5
1800.06	18.9509892	18.625	18.5625
1803.18	18.9496635	18.625	18.5
1806.3	18.9478822	18.625	18.5
1809.43	18.9468918	18.625	18.5
1812.55	18.9449257	18.625	18.5
1815.76	18.9434129	18.625	18.5
1818.96	18.94221	18.625	18.5
1822.07	18.9410555	18.625	18.5
1825.2	18.9396897	18.625	18.5
1828.32	18.9381008	18.625	18.5
1831.43	18.9374575	18.5625	18.5
1834.54	18.9354613	18.5625	18.5
1837.67	18.9336918	18.5625	18.5
1840.79	18.9329983	18.5625	18.5
1843.9	18.931721	18.5625	18.5
1847.03	18.9301103	18.5625	18.5
1850.24	18.9294191	18.5625	18.5
1853.35	18.9278556	18.5625	18.5
1856.48	18.9270257	18.5625	18.5
1859.58	18.9258069	18.5625	18.5
1862.72	18.9244382	18.5625	18.5
1865.93	18.9237842	18.5625	18.5
1869.12	18.9228068	18.5625	18.5
1872.23	18.9214581	18.5625	18.5
1875.35	18.9203851	18.5625	18.5
1878.46	18.9204889	18.5625	18.5
1881.59	18.9194495	18.5625	18.5
1884.71	18.9172279	18.5625	18.5
1887.84	18.9155599	18.5625	18.5
1890.94	18.915011	18.5625	18.5
1894.07	18.9138819	18.5625	18.5
1897.17	18.9131736	18.5625	18.5
1900.3	18.9124483	18.5625	18.5
1903.38	18.9111226	18.5625	18.5
1906.53	18.9096641	18.5625	18.5
1909.67	18.9087345	18.5625	18.5
1912.87	18.9071787	18.5625	18.4375
1915.98	18.9059091	18.5625	18.4375
1919.1	18.9043645	18.5625	18.4375
1922.24	18.9026546	18.5625	18.4375
1925.35	18.9011171	18.5625	18.4375
1928.48	18.8998528	18.5625	18.5
1931.64	18.8992006	18.5625	18.4375
1934.78	18.8981854	18.5625	18.4375
1937.92	18.8971443	18.5625	18.4375
1941.1	18.896354	18.5625	18.4375
1944.31	18.8951523	18.5625	18.4375
1947.43	18.8940297	18.5625	18.4375
1950.53	18.8931378	18.5625	18.5
1953.68	18.892112	18.5625	18.4375
1956.79	18.8905172	18.5625	18.4375
1959.91	18.8896708	18.5625	18.4375
1963.03	18.8886374	18.5625	18.4375
1966.23	18.8876299	18.5625	18.4375
1969.34	18.8863662	18.5625	18.4375
1972.47	18.8851651	18.5625	18.4375
1975.57	18.8838636	18.5625	18.4375
1978.69	18.8834056	18.5	18.4375
1981.82	18.8825215	18.5625	18.4375
1984.94	18.881344	18.5625	18.4375
1988.07	18.8806345	18.5625	18.4375
1991.19	18.8798342	18.5	18.4375
1994.34	18.8790102	18.5	18.4375
1997.51	18.8777584	18.5	18.4375
2000.63	18.8770997	18.5625	18.4375
2003.8	18.8757316	18.5	18.4375
2006.93	18.8755675	18.5	18.4375
2010.01	18.8741633	18.5	18.4375
2013.18	18.8731977	18.5	18.4375
2016.3	18.8723018	18.5	18.4375
2019.41	18.8717216	18.5	18.4375
2022.52	18.8707442	18.5	18.4375
2025.75	18.8696948	18.5	18.4375
2028.9	18.8686153	18.5	18.4375
2032.04	18.8678326	18.5	18.4375
2035.19	18.866929	18.5	18.4375
2038.38	18.8661966	18.5	18.4375
2041.5	18.8654393	18.5	18.4375
2044.63	18.8637424	18.5	18.4375
2047.73	18.8623135	18.5	18.4375
2050.85	18.8610321	18.5	18.4375
2053.93	18.8597567	18.5	18.4375
2057.1	18.8589876	18.5	18.4375
2060.29	18.8577712	18.5	18.375
2063.42	18.8561056	18.5	18.4375
2066.53	18.8552875	18.5	18.4375
2069.64	18.8547127	18.5	18.4375
2072.77	18.8543036	18.5	18.4375
2075.87	18.8530111	18.5	18.4375
2079.01	18.8517893	18.5	18.375
2082.19	18.8513195	18.5	18.4375
2085.33	18.8497802	18.5	18.375
2088.43	18.8495288	18.5	18.375
2091.57	18.8489262	18.5	18.375
2094.66	18.8480172	18.5	18.375
2097.81	18.8470446	18.5	18.375
2100.94	18.8464414	18.5	18.375
2104.05	18.8461114	18.5	18.375
2107.15	18.8446884	18.5	18.375
2110.29	18.8446265	18.5	18.375
2113.4	18.8434496	18.5	18.375
2116.48	18.8425093	18.5	18.375
2119.57	18.8411625	18.5	18.375
2122.67	18.8406773	18.5	18.375
2125.81	18.8407328	18.5	18.375
2128.93	18.8398469	18.5	18.375
2132.03	18.8381878	18.5	18.375
2135.16	18.8375946	18.5	18.375
2138.27	18.8375828	18.5	18.375
2141.42	18.8355082	18.5	18.375
2144.48	18.8345721	18.5	18.375
2147.55	18.8343845	18.5	18.375
2150.68	18.8329119	18.5	18.375
2153.83	18.8324167	18.5	18.375
2156.95	18.8319728	18.5	18.375
2160.03	18.8309718	18.5	18.375
2163.15	18.8302565	18.5	18.375
2166.36	18.8299207	18.5	18.375
2169.46	18.8287178	18.5	18.375
2172.6	18.8280715	18.5	18.375
2175.74	18.8270699	18.4375	18.375
2178.9	18.8266798	18.4375	18.375
2182.08	18.8262165	18.5	18.375
2185.21	18.8247929	18.5	18.375
2188.4	18.8242422	18.5	18.375
2191.51	18.8234201	18.4375	18.375
2194.62	18.8226575	18.5	18.375
2197.75	18.821833	18.5	18.375
2200.89	18.8205386	18.5	18.375
2204.06	18.8195199	18.5	18.375
2207.21	18.8187314	18.5	18.375
2210.41	18.8180167	18.5	18.375
2213.63	18.8173444	18.4375	18.375
2216.8	18.8164048	18.4375	18.375
