Time [s]	Sensor 1: Pt100-4wire @Keysight [°C]	Sensor 2: DS18B20 @GPIO [°C]	Sensor 3: DS18B20 @GPIO [°C]
1.26	18.9177414	18.625	18.5
4.54	18.9197683	18.625	18.5
7.6	18.9218978	18.625	18.5
10.66	18.9234737	18.625	18.5
13.77	18.9251523	18.625	18.5
16.98	18.9261764	18.625	18.5
20.1	18.9281483	18.625	18.5
23.2	18.928797	18.625	18.5
26.24	18.9297609	18.625	18.5
29.28	18.9314961	18.625	18.5
32.32	18.9507985	18.6875	18.5
35.49	21.0822243	20.6875	18.5
38.59	22.5733202	21.625	19.1875
41.74	24.1420761	22.625	20.5625
44.99	26.7914282	24.3125	22.875
48.11	28.0177531	25.8125	24.375
51.24	28.757948	26.875	25.375
54.37	29.282006	27.5625	26.1875
57.47	29.7007688	28.1875	26.875
60.6	30.0402543	28.9375	27.4375
63.73	30.2761085	29.4375	27.8125
66.85	30.4667153	29.8125	28.1875
69.97	30.6291126	30.125	28.5
73.13	30.7763876	30.375	28.75
76.28	30.9111742	30.5625	29.0
79.48	31.0586571	30.75	29.125
82.63	31.6352222	30.875	29.375
85.74	31.9909701	31.0	29.5625
88.86	32.2178542	31.125	29.6875
91.97	32.3694314	31.25	29.875
95.08	32.4810946	31.3125	30.0
98.21	32.4773677	31.3125	30.1875
101.25	32.4144839	31.375	30.6875
104.32	32.3299166	31.4375	31.0
107.36	32.2915146	31.5	31.1875
110.41	32.2788997	31.5625	31.3125
113.57	32.2828783	31.625	31.4375
116.65	32.2963263	31.6875	31.5625
119.76	32.3167255	31.75	31.625
122.81	32.341065	31.8125	31.6875
125.93	32.3200215	31.8125	31.5
129.05	32.1695322	31.625	31.1875
132.17	32.0118681	31.5	30.9375
135.28	31.8487669	31.375	30.6875
138.4	31.6926269	31.25	30.5
141.46	31.5394114	31.125	30.3125
144.56	31.3808534	31.0	30.125
147.61	31.230527	30.875	30.0
150.74	31.0822902	30.75	29.8125
153.86	30.9360864	30.625	29.625
156.96	30.7999636	30.5	29.5
160.09	30.6659461	30.375	29.375
163.19	30.5351429	30.25	29.25
166.32	30.4098107	30.125	29.125
169.37	30.2874603	30.0	29.0
172.49	30.1636072	29.875	28.875
175.61	30.0417875	29.75	28.75
178.74	29.9187447	29.625	28.625
181.85	29.796247	29.5625	28.5
184.97	29.6756509	29.4375	28.375
188.11	29.5565247	29.3125	28.3125
191.22	29.4387739	29.1875	28.1875
194.34	29.3187786	29.125	28.125
197.4	29.201894	29.0	28.0
200.56	29.084621	28.875	27.875
203.61	28.9721828	28.75	27.75
206.73	28.8562959	28.6875	27.6875
209.84	28.7422179	28.5	27.625
212.89	28.6325721	28.4375	27.5
216.01	28.5234004	28.3125	27.4375
219.12	28.4138719	28.1875	27.3125
222.25	28.3081296	28.125	27.25
225.41	28.2014916	28.0	27.125
228.49	28.0835421	27.875	27.125
231.59	27.9697733	27.75	26.9375
234.63	27.8686557	27.625	26.875
237.7	27.7755765	27.5625	26.75
240.82	27.6826104	27.4375	26.6875
243.92	27.5917093	27.375	26.625
246.97	27.5031533	27.25	26.5625
250.09	27.4142303	27.1875	26.4375
253.16	27.3253802	27.125	26.375
256.25	27.2362377	27.0	26.3125
259.36	27.1478047	26.9375	26.25
262.48	27.0590415	26.8125	26.125
265.52	26.9726194	26.75	26.0625
268.57	26.8869698	26.6875	26.0
271.67	26.8015626	26.5625	25.9375
274.74	26.717594	26.5	25.875
277.84	26.6347958	26.4375	25.75
280.88	26.550971	26.375	25.75
284.01	26.4692423	26.25	25.625
287.13	26.3897979	26.1875	25.5625
290.26	26.309229	26.125	25.5
293.39	26.2297286	26.0625	25.4375
296.5	26.1500809	25.9375	25.375
299.62	26.0722227	25.875	25.3125
302.73	25.9937671	25.8125	25.25
305.85	25.9170978	25.75	25.1875
308.96	25.8419182	25.6875	25.125
312.0	25.7673957	25.5625	25.0625
315.13	25.6958887	25.5	25.0
318.25	25.6254123	25.4375	24.9375
321.37	25.5552372	25.375	24.875
324.49	25.4860648	25.3125	24.8125
327.62	25.4183751	25.25	24.75
330.73	25.3507921	25.1875	24.6875
333.86	25.2832637	25.125	24.625
336.96	25.213916	25.0625	24.5625
340.09	25.1458481	25.0	24.5
343.23	25.0760247	24.9375	24.4375
346.33	25.0101894	24.875	24.375
349.4	24.946717	24.8125	24.3125
352.48	24.885589	24.75	24.3125
355.52	24.8269567	24.6875	24.25
358.57	24.7695375	24.625	24.1875
361.68	24.7112371	24.5625	24.125
364.73	24.6534089	24.5	24.0625
367.84	24.5970882	24.4375	24.0
370.96	24.540461	24.375	23.9375
374.0	24.4847505	24.3125	23.9375
377.13	24.4290232	24.25	23.875
380.25	24.3751828	24.1875	23.8125
383.37	24.319903	24.125	23.75
386.5	24.2662712	24.0625	23.6875
389.59	24.2153738	24.0	23.6875
392.66	24.1638942	24.0	23.625
395.77	24.112276	23.9375	23.5625
398.92	24.0628339	23.875	23.5
402.0	24.0129787	23.8125	23.5
405.12	23.9663329	23.75	23.4375
408.17	23.9202764	23.6875	23.375
411.29	23.8756244	23.6875	23.375
414.36	23.8315429	23.625	23.3125
417.45	23.7858884	23.5625	23.25
420.57	23.7394071	23.5	23.1875
423.68	23.6935494	23.4375	23.1875
426.74	23.649488	23.4375	23.125
429.85	23.6038986	23.375	23.0625
