Measuring Time [h]	Discharge Runtime [h]	Voltage [V]	Current [A]	Capacity [Ah]
0.0	0.0	0.0	0.8	0.0
0.0	0.0	0.0	0.8	0.0
0.001	0.0	0.0	0.8	0.0
0.001	0.0	0.0	0.8	0.0
0.001	0.0	0.0	0.8	0.0
0.001	0.0	0.0	0.8	0.0
0.002	0.0	0.0	0.8	0.0
0.002	0.0	0.0	0.8	0.0
0.002	0.0	0.0	0.8	0.0
0.003	0.0	0.0	0.8	0.0
0.003	0.0	0.0	0.8	0.0
0.003	0.0	0.0	0.8	0.0
0.003	0.0	0.0	0.8	0.0
0.004	0.0	0.0	0.8	0.0
0.004	0.0	0.0	0.8	0.0
0.004	0.0	0.0	0.8	0.0
0.005	0.0	0.0	0.8	0.0
0.005	0.0	0.0	0.8	0.0
0.005	0.0	0.0	0.8	0.0
0.005	0.0	0.0	0.8	0.0
0.006	0.0	0.0	0.8	0.0
0.006	0.0	0.0	0.8	0.0
0.006	0.0	0.0	0.8	0.0
0.006	0.0	0.0	0.8	0.0
0.007	0.0	0.0	0.8	0.0
0.007	0.0	0.0	0.8	0.0
0.007	0.0	0.0	0.8	0.0
0.008	0.0	0.0	0.8	0.0
0.008	0.0	0.0	0.8	0.0
0.008	0.0	4.91	0.8	0.0
0.008	0.0	4.91	0.8	0.0
0.009	0.0	4.91	0.8	0.001
0.009	0.0	4.91	0.8	0.001
0.009	0.0	4.89	0.8	0.001
0.01	0.0	4.89	0.8	0.001
0.01	0.0	4.89	0.8	0.002
0.01	0.0	4.88	0.8	0.002
0.01	0.0	4.89	0.8	0.002
0.011	0.0	4.9	0.8	0.002
0.011	0.0	4.89	0.8	0.002
0.011	0.0	4.88	0.8	0.003
0.012	0.0	4.89	0.8	0.003
0.012	0.0	4.89	0.8	0.003
0.012	0.0	4.89	0.8	0.003
0.012	0.0	4.89	0.8	0.004
0.013	0.0	4.89	0.8	0.004
0.013	0.0	4.89	0.8	0.004
0.013	0.0	4.89	0.8	0.004
0.013	0.0	4.89	0.8	0.004
0.014	0.0	4.89	0.8	0.005
0.014	0.0	4.89	0.8	0.005
0.014	0.0	4.89	0.8	0.005
