Measuring Time [h]	Discharge Runtime [h]	Voltage [V]	Current [A]	Capacity [Ah]
0.015	0.0	4.89	0.8	0.005
0.015	0.0	4.89	0.8	0.006
0.015	0.0	4.88	0.8	0.006
0.015	0.0	4.88	0.8	0.006
0.016	0.0	4.88	0.8	0.006
0.016	0.0	4.89	0.8	0.006
0.016	0.0	4.89	0.8	0.007
0.017	0.0	4.9	0.8	0.007
0.017	0.0	4.89	0.8	0.007
0.017	0.0	4.89	0.8	0.007
0.017	0.0	4.88	0.8	0.008
0.018	0.0	4.9	0.8	0.008
0.018	0.0	4.99	0.8	0.008
0.018	0.0	4.99	0.8	0.008
0.018	0.0	5.0	0.8	0.008
0.019	0.0	4.99	0.8	0.009
0.019	0.0	4.99	0.8	0.009
0.019	0.0	4.99	0.8	0.009
0.02	0.0	4.99	0.8	0.009
0.02	0.0	4.99	0.8	0.01
0.02	0.0	4.99	0.8	0.01
0.02	0.0	4.99	0.8	0.01
0.021	0.0	4.99	0.8	0.01
0.021	0.0	5.0	0.8	0.01
0.021	0.0	5.0	0.8	0.011
0.022	0.0	4.99	0.8	0.011
0.022	0.0	4.99	0.8	0.011
0.022	0.0	4.99	0.8	0.011
0.022	0.0	4.99	0.8	0.012
0.023	0.0	4.99	0.8	0.012
0.023	0.0	4.99	0.8	0.012
0.023	0.0	5.0	0.8	0.012
0.023	0.0	4.99	0.8	0.012
0.024	0.0	4.99	0.8	0.013
0.024	0.0	4.99	0.8	0.013
0.024	0.0	4.99	0.8	0.013
0.025	0.017	4.99	0.8	0.013
0.025	0.017	4.99	0.8	0.014
0.025	0.017	4.99	0.8	0.014
0.025	0.017	4.99	0.8	0.014
0.026	0.017	4.99	0.8	0.014
0.026	0.017	4.99	0.8	0.014
0.026	0.017	4.99	0.8	0.015
0.027	0.017	4.99	0.8	0.015
0.027	0.017	4.99	0.8	0.015
0.027	0.017	4.99	0.8	0.015
0.027	0.017	4.99	0.8	0.016
0.028	0.017	4.99	0.8	0.016
0.028	0.017	4.99	0.8	0.016
0.028	0.017	4.99	0.8	0.016
0.029	0.017	4.98	0.8	0.016
0.029	0.017	4.99	0.8	0.017
0.029	0.017	4.99	0.8	0.017
0.029	0.017	4.98	0.8	0.017
0.03	0.017	4.98	0.8	0.017
0.03	0.017	4.99	0.8	0.018
0.03	0.017	4.99	0.8	0.018
0.031	0.017	4.99	0.8	0.018
0.031	0.017	4.99	0.8	0.018
0.031	0.017	4.99	0.8	0.018
0.031	0.017	4.99	0.8	0.019
0.032	0.017	4.99	0.8	0.019
0.032	0.017	4.99	0.8	0.019
0.032	0.017	4.99	0.8	0.019
0.033	0.017	4.99	0.8	0.02
0.033	0.017	4.99	0.8	0.02
0.033	0.017	4.99	0.8	0.02
0.033	0.017	4.98	0.8	0.02
0.034	0.017	4.99	0.8	0.02
0.034	0.017	4.99	0.8	0.021
0.034	0.017	4.99	0.8	0.021
0.034	0.017	4.99	0.8	0.021
0.035	0.017	4.99	0.8	0.021
0.035	0.017	4.99	0.8	0.022
0.035	0.017	4.98	0.8	0.022
0.036	0.017	4.99	0.8	0.022
0.036	0.017	4.99	0.8	0.022
0.036	0.017	4.99	0.8	0.022
0.036	0.017	4.99	0.8	0.023
0.037	0.017	4.99	0.8	0.023
0.037	0.017	4.98	0.8	0.023
0.037	0.017	4.98	0.8	0.023
0.038	0.017	4.98	0.8	0.024
0.038	0.017	4.98	0.8	0.024
0.038	0.017	4.98	0.8	0.024
0.038	0.017	4.98	0.8	0.024
0.039	0.017	4.98	0.8	0.024
0.039	0.017	4.97	0.8	0.025
0.039	0.017	4.97	0.8	0.025
0.04	0.017	4.99	0.8	0.025
0.04	0.017	4.99	0.8	0.025
0.04	0.017	4.97	0.8	0.026
0.04	0.017	4.98	0.8	0.026
0.041	0.017	4.99	0.8	0.026
0.041	0.017	4.99	0.8	0.026
0.041	0.017	4.99	0.8	0.026
0.042	0.033	4.98	0.8	0.027
0.042	0.033	4.98	0.8	0.027
0.042	0.033	4.98	0.8	0.027
0.042	0.033	4.98	0.8	0.027
0.043	0.033	4.98	0.8	0.028
0.043	0.033	4.99	0.8	0.028
0.043	0.033	4.99	0.8	0.028
0.043	0.033	4.99	0.8	0.028
0.044	0.033	4.99	0.8	0.028
0.044	0.033	4.99	0.8	0.029
0.044	0.033	4.99	0.8	0.029
0.045	0.033	4.98	0.8	0.029
0.045	0.033	4.98	0.8	0.029
0.045	0.033	4.97	0.8	0.03
0.045	0.033	4.99	0.8	0.03
0.046	0.033	4.99	0.8	0.03
0.046	0.033	4.98	0.8	0.03
0.046	0.033	4.99	0.8	0.03
0.047	0.033	4.98	0.8	0.031
0.047	0.033	4.97	0.8	0.031
0.047	0.033	4.99	0.8	0.031
0.047	0.033	4.99	0.8	0.031
0.048	0.033	4.99	0.8	0.032
0.048	0.033	4.99	0.8	0.032
0.048	0.033	4.98	0.8	0.032
0.048	0.033	4.98	0.8	0.032
0.049	0.033	4.99	0.8	0.032
0.049	0.033	4.99	0.8	0.033
0.049	0.033	4.98	0.8	0.033
0.05	0.033	4.98	0.8	0.033
0.05	0.033	4.99	0.8	0.033
0.05	0.033	4.99	0.8	0.034
0.05	0.033	4.98	0.8	0.034
0.051	0.033	4.98	0.8	0.034
0.051	0.033	4.98	0.8	0.034
0.051	0.033	4.98	0.8	0.034
0.052	0.033	4.97	0.8	0.035
0.052	0.033	4.98	0.8	0.035
0.052	0.033	4.99	0.8	0.035
0.052	0.033	4.98	0.8	0.035
0.053	0.033	4.99	0.8	0.036
0.053	0.033	4.98	0.8	0.036
0.053	0.033	4.97	0.8	0.036
0.053	0.033	4.99	0.8	0.036
0.054	0.033	4.98	0.8	0.036
0.054	0.033	4.98	0.8	0.037
0.054	0.033	4.98	0.8	0.037
0.055	0.033	4.98	0.8	0.037
0.055	0.033	4.98	0.8	0.037
0.055	0.033	4.98	0.8	0.038
0.055	0.033	4.99	0.8	0.038
0.056	0.033	4.98	0.8	0.038
0.056	0.033	4.98	0.8	0.038
0.056	0.033	4.97	0.8	0.038
0.057	0.033	4.98	0.8	0.039
0.057	0.033	4.97	0.8	0.039
0.057	0.033	4.98	0.8	0.039
0.057	0.033	4.98	0.8	0.039
0.058	0.033	4.98	0.8	0.04
0.058	0.033	4.98	0.8	0.04
0.058	0.05	4.99	0.8	0.04
0.059	0.05	4.99	0.8	0.04
0.059	0.05	4.98	0.8	0.04
0.059	0.05	4.98	0.8	0.041
0.059	0.05	4.98	0.8	0.041
0.06	0.05	4.97	0.8	0.041
0.06	0.05	4.98	0.8	0.041
0.06	0.05	4.98	0.8	0.042
0.061	0.05	4.97	0.8	0.042
0.061	0.05	4.97	0.8	0.042
0.061	0.05	4.99	0.8	0.042
0.061	0.05	4.98	0.8	0.042
0.062	0.05	4.98	0.8	0.043
0.062	0.05	4.98	0.8	0.043
0.062	0.05	4.98	0.8	0.043
0.063	0.05	4.98	0.8	0.043
0.063	0.05	4.98	0.8	0.044
0.063	0.05	4.98	0.8	0.044
0.063	0.05	4.98	0.8	0.044
0.064	0.05	4.98	0.8	0.044
0.064	0.05	4.98	0.8	0.044
0.064	0.05	4.98	0.8	0.045
0.064	0.05	4.97	0.8	0.045
0.065	0.05	4.98	0.8	0.045
0.065	0.05	4.98	0.8	0.045
0.065	0.05	4.98	0.8	0.046
0.066	0.05	4.98	0.8	0.046
0.066	0.05	4.98	0.8	0.046
0.066	0.05	4.98	0.8	0.046
0.066	0.05	4.98	0.8	0.046
0.067	0.05	4.98	0.8	0.047
0.067	0.05	4.98	0.8	0.047
0.067	0.05	4.97	0.8	0.047
0.068	0.05	4.98	0.8	0.047
0.068	0.05	4.98	0.8	0.048
0.068	0.05	4.98	0.8	0.048
0.068	0.05	4.98	0.8	0.048
0.069	0.05	4.98	0.8	0.048
0.069	0.05	4.98	0.8	0.048
0.069	0.05	4.98	0.8	0.049
0.07	0.05	4.98	0.8	0.049
0.07	0.05	4.98	0.8	0.049
0.07	0.05	4.97	0.8	0.049
0.07	0.05	4.97	0.8	0.05
0.071	0.05	4.98	0.8	0.05
0.071	0.05	4.98	0.8	0.05
0.071	0.05	4.97	0.8	0.05
0.071	0.05	4.98	0.8	0.05
0.072	0.05	4.99	0.8	0.051
0.072	0.05	4.97	0.8	0.051
0.072	0.05	4.97	0.8	0.051
0.073	0.05	4.97	0.8	0.051
0.073	0.05	4.98	0.8	0.052
0.073	0.05	4.98	0.8	0.052
0.073	0.05	4.97	0.8	0.052
0.074	0.05	4.97	0.8	0.052
0.074	0.05	4.98	0.8	0.052
0.074	0.05	4.97	0.8	0.053
0.075	0.05	4.98	0.8	0.053
0.075	0.05	4.98	0.8	0.053
0.075	0.067	4.97	0.8	0.053
0.075	0.067	4.97	0.8	0.054
0.076	0.067	4.98	0.8	0.054
0.076	0.067	4.97	0.8	0.054
0.076	0.067	4.98	0.8	0.054
0.076	0.067	4.98	0.8	0.054
0.077	0.067	4.98	0.8	0.055
0.077	0.067	4.97	0.8	0.055
0.077	0.067	4.97	0.8	0.055
0.078	0.067	4.98	0.8	0.055
0.078	0.067	4.98	0.8	0.056
0.078	0.067	4.97	0.8	0.056
0.078	0.067	4.97	0.8	0.056
0.079	0.067	4.97	0.8	0.056
0.079	0.067	4.98	0.8	0.056
0.079	0.067	4.97	0.8	0.057
0.08	0.067	4.97	0.8	0.057
0.08	0.067	4.96	0.8	0.057
0.08	0.067	4.97	0.8	0.057
0.08	0.067	4.98	0.8	0.058
0.081	0.067	4.97	0.8	0.058
0.081	0.067	4.98	0.8	0.058
0.081	0.067	4.97	0.8	0.058
0.081	0.067	4.97	0.8	0.058
0.082	0.067	4.97	0.8	0.059
0.082	0.067	4.98	0.8	0.059
0.082	0.067	4.97	0.8	0.059
0.083	0.067	4.97	0.8	0.059
0.083	0.067	4.97	0.8	0.06
0.083	0.067	4.96	0.8	0.06
0.083	0.067	4.98	0.8	0.06
0.084	0.067	4.97	0.8	0.06
0.084	0.067	4.96	0.8	0.06
0.084	0.067	4.96	0.8	0.061
0.085	0.067	4.97	0.8	0.061
0.085	0.067	4.98	0.8	0.061
0.085	0.067	4.97	0.8	0.061
0.085	0.067	4.97	0.8	0.062
0.086	0.067	4.96	0.8	0.062
0.086	0.067	4.97	0.8	0.062
0.086	0.067	4.97	0.8	0.062
0.087	0.067	4.97	0.8	0.062
0.087	0.067	4.99	0.8	0.063
0.087	0.067	4.97	0.8	0.063
0.087	0.067	4.98	0.8	0.063
0.088	0.067	4.97	0.8	0.063
0.088	0.067	4.97	0.8	0.064
0.088	0.067	4.96	0.8	0.064
0.089	0.067	4.97	0.8	0.064
0.089	0.067	4.97	0.8	0.064
0.089	0.067	4.98	0.8	0.064
0.089	0.067	4.98	0.8	0.065
0.09	0.067	4.97	0.8	0.065
0.09	0.067	4.97	0.8	0.065
0.09	0.067	4.97	0.8	0.065
0.091	0.067	4.98	0.8	0.066
0.091	0.067	4.97	0.8	0.066
0.091	0.067	4.97	0.8	0.066
0.091	0.067	4.97	0.8	0.066
0.092	0.067	4.97	0.8	0.066
0.092	0.083	4.97	0.8	0.067
0.092	0.083	4.96	0.8	0.067
0.092	0.083	4.97	0.8	0.067
0.093	0.083	4.97	0.8	0.067
0.093	0.083	4.98	0.8	0.068
0.093	0.083	4.98	0.8	0.068
0.094	0.083	4.97	0.8	0.068
0.094	0.083	4.97	0.8	0.068
0.094	0.083	4.96	0.8	0.068
0.094	0.083	4.97	0.8	0.069
0.095	0.083	4.98	0.8	0.069
0.095	0.083	4.97	0.8	0.069
0.095	0.083	4.97	0.8	0.069
0.096	0.083	4.97	0.8	0.07
0.096	0.083	4.96	0.8	0.07
0.096	0.083	4.96	0.8	0.07
0.096	0.083	4.96	0.8	0.07
0.097	0.083	4.98	0.8	0.07
0.097	0.083	4.97	0.8	0.071
0.097	0.083	4.97	0.8	0.071
0.098	0.083	4.97	0.8	0.071
0.098	0.083	4.98	0.8	0.071
0.098	0.083	4.98	0.8	0.072
0.098	0.083	4.97	0.8	0.072
0.099	0.083	4.97	0.8	0.072
0.099	0.083	4.97	0.8	0.072
0.099	0.083	4.97	0.8	0.072
0.1	0.083	4.97	0.8	0.073
0.1	0.083	4.97	0.8	0.073
0.1	0.083	4.97	0.8	0.073
0.1	0.083	4.98	0.8	0.073
0.101	0.083	4.97	0.8	0.074
0.101	0.083	4.98	0.8	0.074
0.101	0.083	4.98	0.8	0.074
0.101	0.083	4.96	0.8	0.074
0.102	0.083	4.97	0.8	0.074
0.102	0.083	4.97	0.8	0.075
0.102	0.083	4.97	0.8	0.075
0.103	0.083	4.98	0.8	0.075
0.103	0.083	4.97	0.8	0.075
0.103	0.083	4.97	0.8	0.076
0.103	0.083	4.97	0.8	0.076
0.104	0.083	4.97	0.8	0.076
0.104	0.083	4.98	0.8	0.076
0.104	0.083	4.97	0.8	0.076
0.105	0.083	4.97	0.8	0.077
0.105	0.083	4.98	0.8	0.077
0.105	0.083	4.96	0.8	0.077
0.105	0.083	4.97	0.8	0.077
0.106	0.083	4.98	0.8	0.078
0.106	0.083	4.97	0.8	0.078
0.106	0.083	4.96	0.8	0.078
0.106	0.083	4.96	0.8	0.078
0.107	0.083	4.98	0.8	0.078
0.107	0.083	4.97	0.8	0.079
0.107	0.083	4.97	0.8	0.079
0.108	0.083	4.98	0.8	0.079
0.108	0.083	4.98	0.8	0.079
0.108	0.083	4.97	0.8	0.08
0.108	0.083	4.97	0.8	0.08
0.109	0.1	4.97	0.8	0.08
0.109	0.1	4.97	0.8	0.08
0.109	0.1	4.97	0.8	0.08
0.11	0.1	4.96	0.8	0.081
0.11	0.1	4.97	0.8	0.081
0.11	0.1	4.97	0.8	0.081
0.11	0.1	4.98	0.8	0.081
0.111	0.1	4.97	0.8	0.082
0.111	0.1	4.98	0.8	0.082
0.111	0.1	4.97	0.8	0.082
0.111	0.1	4.97	0.8	0.082
0.112	0.1	4.96	0.8	0.082
0.112	0.1	4.97	0.8	0.083
0.112	0.1	4.98	0.8	0.083
0.113	0.1	4.97	0.8	0.083
0.113	0.1	4.97	0.8	0.083
0.113	0.1	4.98	0.8	0.084
0.113	0.1	4.96	0.8	0.084
0.114	0.1	4.96	0.8	0.084
0.114	0.1	4.97	0.8	0.084
0.114	0.1	4.97	0.8	0.084
0.115	0.1	4.97	0.8	0.085
0.115	0.1	4.97	0.8	0.085
0.115	0.1	4.96	0.8	0.085
0.115	0.1	4.97	0.8	0.085
0.116	0.1	4.96	0.8	0.086
0.116	0.1	4.97	0.8	0.086
0.116	0.1	4.97	0.8	0.086
0.117	0.1	4.97	0.8	0.086
0.117	0.1	4.97	0.8	0.086
0.117	0.1	4.97	0.8	0.087
0.117	0.1	4.97	0.8	0.087
0.118	0.1	4.96	0.8	0.087
0.118	0.1	4.97	0.8	0.087
0.118	0.1	4.97	0.8	0.088
0.119	0.1	4.97	0.8	0.088
0.119	0.1	4.95	0.8	0.088
0.119	0.1	4.97	0.8	0.088
0.119	0.1	4.98	0.8	0.088
0.12	0.1	4.98	0.8	0.089
0.12	0.1	4.96	0.8	0.089
0.12	0.1	4.97	0.8	0.089
0.12	0.1	4.98	0.8	0.089
0.121	0.1	4.98	0.8	0.09
0.121	0.1	4.97	0.8	0.09
0.121	0.1	4.97	0.8	0.09
0.122	0.1	4.98	0.8	0.09
0.122	0.1	4.96	0.8	0.09
0.122	0.1	4.97	0.8	0.091
0.122	0.1	4.97	0.8	0.091
0.123	0.1	4.96	0.8	0.091
0.123	0.1	4.97	0.8	0.091
0.123	0.1	4.97	0.8	0.092
0.124	0.1	4.97	0.8	0.092
0.124	0.1	4.97	0.8	0.092
0.124	0.1	4.96	0.8	0.092
0.124	0.1	4.96	0.8	0.092
0.125	0.1	4.97	0.8	0.093
0.125	0.1	4.96	0.8	0.093
0.125	0.1	4.96	0.8	0.093
0.126	0.117	4.96	0.8	0.093
0.126	0.117	4.97	0.8	0.094
0.126	0.117	4.97	0.8	0.094
0.126	0.117	4.97	0.8	0.094
0.127	0.117	4.97	0.8	0.094
0.127	0.117	4.96	0.8	0.094
0.127	0.117	4.97	0.8	0.095
0.128	0.117	4.96	0.8	0.095
0.128	0.117	4.97	0.8	0.095
0.128	0.117	4.97	0.8	0.095
0.128	0.117	4.97	0.8	0.096
0.129	0.117	4.96	0.8	0.096
0.129	0.117	4.96	0.8	0.096
0.129	0.117	4.97	0.8	0.096
0.13	0.117	4.97	0.8	0.096
0.13	0.117	4.97	0.8	0.097
0.13	0.117	4.96	0.8	0.097
0.13	0.117	4.96	0.8	0.097
0.131	0.117	4.97	0.8	0.097
0.131	0.117	4.97	0.8	0.098
0.131	0.117	4.97	0.8	0.098
0.131	0.117	4.97	0.8	0.098
0.132	0.117	4.97	0.8	0.098
0.132	0.117	4.96	0.8	0.098
0.132	0.117	4.97	0.8	0.099
0.133	0.117	4.97	0.8	0.099
0.133	0.117	4.96	0.8	0.099
0.133	0.117	4.97	0.8	0.099
0.133	0.117	4.98	0.8	0.1
0.134	0.117	4.96	0.8	0.1
0.134	0.117	4.97	0.8	0.1
0.134	0.117	4.96	0.8	0.1
0.135	0.117	4.97	0.8	0.1
0.135	0.117	4.95	0.8	0.101
0.135	0.117	4.96	0.8	0.101
0.135	0.117	4.97	0.8	0.101
0.136	0.117	4.97	0.8	0.101
0.136	0.117	4.96	0.8	0.102
0.136	0.117	4.97	0.8	0.102
0.136	0.117	4.97	0.8	0.102
0.137	0.117	4.97	0.8	0.102
0.137	0.117	4.96	0.8	0.102
0.137	0.117	4.96	0.8	0.103
0.138	0.117	4.96	0.8	0.103
0.138	0.117	4.97	0.8	0.103
0.138	0.117	4.97	0.8	0.103
0.138	0.117	4.97	0.8	0.104
0.139	0.117	4.98	0.8	0.104
0.139	0.117	4.96	0.8	0.104
0.139	0.117	4.97	0.8	0.104
0.14	0.117	4.96	0.8	0.104
0.14	0.117	4.96	0.8	0.105
0.14	0.117	4.96	0.8	0.105
0.14	0.117	4.96	0.8	0.105
0.141	0.117	4.96	0.8	0.105
0.141	0.117	4.96	0.8	0.106
0.141	0.117	4.97	0.8	0.106
0.141	0.117	4.96	0.8	0.106
0.142	0.117	4.97	0.8	0.106
0.142	0.117	4.96	0.8	0.106
0.142	0.133	4.96	0.8	0.107
0.143	0.133	4.97	0.8	0.107
0.143	0.133	4.97	0.8	0.107
0.143	0.133	4.97	0.8	0.107
0.143	0.133	4.95	0.8	0.108
0.144	0.133	4.95	0.8	0.108
0.144	0.133	4.97	0.8	0.108
0.144	0.133	4.97	0.8	0.108
0.145	0.133	4.96	0.8	0.108
0.145	0.133	4.96	0.8	0.109
0.145	0.133	4.97	0.8	0.109
0.145	0.133	4.96	0.8	0.109
0.146	0.133	4.97	0.8	0.109
0.146	0.133	4.96	0.8	0.11
0.146	0.133	4.96	0.8	0.11
0.147	0.133	4.97	0.8	0.11
0.147	0.133	4.97	0.8	0.11
0.147	0.133	4.96	0.8	0.11
0.147	0.133	4.96	0.8	0.111
0.148	0.133	4.97	0.8	0.111
0.148	0.133	4.95	0.8	0.111
0.148	0.133	4.97	0.8	0.111
0.148	0.133	4.97	0.8	0.112
0.149	0.133	4.96	0.8	0.112
0.149	0.133	4.96	0.8	0.112
0.149	0.133	4.98	0.8	0.112
0.15	0.133	4.95	0.8	0.112
0.15	0.133	4.96	0.8	0.113
0.15	0.133	4.96	0.8	0.113
0.15	0.133	4.97	0.8	0.113
0.151	0.133	4.96	0.8	0.113
0.151	0.133	4.96	0.8	0.114
0.151	0.133	4.96	0.8	0.114
0.152	0.133	4.97	0.8	0.114
0.152	0.133	4.96	0.8	0.114
0.152	0.133	4.96	0.8	0.114
0.152	0.133	4.96	0.8	0.115
0.153	0.133	4.97	0.8	0.115
0.153	0.133	4.96	0.8	0.115
0.153	0.133	4.97	0.8	0.115
0.154	0.133	4.97	0.8	0.116
0.154	0.133	4.97	0.8	0.116
0.154	0.133	4.97	0.8	0.116
0.154	0.133	4.96	0.8	0.116
0.155	0.133	4.96	0.8	0.116
0.155	0.133	4.96	0.8	0.117
0.155	0.133	4.97	0.8	0.117
0.156	0.133	4.97	0.8	0.117
0.156	0.133	4.95	0.8	0.117
0.156	0.133	4.95	0.8	0.118
0.156	0.133	4.96	0.8	0.118
0.157	0.133	4.95	0.8	0.118
0.157	0.133	4.97	0.8	0.118
0.157	0.133	4.96	0.8	0.118
0.158	0.133	4.96	0.8	0.119
0.158	0.133	4.96	0.8	0.119
0.158	0.133	4.97	0.8	0.119
0.158	0.133	4.96	0.8	0.119
0.159	0.133	4.96	0.8	0.12
0.159	0.133	4.96	0.8	0.12
0.159	0.15	4.95	0.8	0.12
0.159	0.15	4.97	0.8	0.12
0.16	0.15	4.95	0.8	0.12
0.16	0.15	4.97	0.8	0.121
0.16	0.15	4.97	0.8	0.121
0.161	0.15	4.97	0.8	0.121
0.161	0.15	4.97	0.8	0.121
0.161	0.15	4.96	0.8	0.122
0.161	0.15	4.96	0.8	0.122
0.162	0.15	4.96	0.8	0.122
0.162	0.15	4.96	0.8	0.122
0.162	0.15	4.97	0.8	0.122
0.163	0.15	4.95	0.8	0.123
0.163	0.15	4.95	0.8	0.123
0.163	0.15	4.96	0.8	0.123
0.163	0.15	4.95	0.8	0.123
0.164	0.15	4.97	0.8	0.124
0.164	0.15	4.96	0.8	0.124
0.164	0.15	4.96	0.8	0.124
0.165	0.15	4.97	0.8	0.124
0.165	0.15	4.96	0.8	0.124
0.165	0.15	4.96	0.8	0.125
0.165	0.15	4.96	0.8	0.125
0.166	0.15	4.96	0.8	0.125
0.166	0.15	4.97	0.8	0.125
0.166	0.15	4.96	0.8	0.126
0.166	0.15	4.96	0.8	0.126
0.167	0.15	4.96	0.8	0.126
0.167	0.15	4.97	0.8	0.126
0.167	0.15	4.96	0.8	0.126
0.168	0.15	4.97	0.8	0.127
0.168	0.15	4.97	0.8	0.127
0.168	0.15	4.96	0.8	0.127
0.168	0.15	4.96	0.8	0.127
0.169	0.15	4.96	0.8	0.128
0.169	0.15	4.97	0.8	0.128
0.169	0.15	4.96	0.8	0.128
0.17	0.15	4.95	0.8	0.128
0.17	0.15	4.96	0.8	0.128
0.17	0.15	4.96	0.8	0.129
0.17	0.15	4.96	0.8	0.129
0.171	0.15	4.97	0.8	0.129
0.171	0.15	4.97	0.8	0.129
0.171	0.15	4.97	0.8	0.13
0.171	0.15	4.96	0.8	0.13
0.172	0.15	4.95	0.8	0.13
0.172	0.15	4.96	0.8	0.13
0.172	0.15	4.96	0.8	0.13
0.173	0.15	4.96	0.8	0.131
0.173	0.15	4.97	0.8	0.131
0.173	0.15	4.96	0.8	0.131
0.173	0.15	4.97	0.8	0.131
0.174	0.15	4.97	0.8	0.132
0.174	0.15	4.96	0.8	0.132
0.174	0.15	4.95	0.8	0.132
0.175	0.15	4.95	0.8	0.132
0.175	0.15	4.96	0.8	0.132
0.175	0.15	4.96	0.8	0.133
0.175	0.15	4.95	0.8	0.133
0.176	0.15	4.96	0.8	0.133
0.176	0.167	4.96	0.8	0.133
0.176	0.167	4.95	0.8	0.134
0.176	0.167	4.96	0.8	0.134
0.177	0.167	4.96	0.8	0.134
0.177	0.167	4.96	0.8	0.134
0.177	0.167	4.95	0.8	0.134
0.178	0.167	4.96	0.8	0.135
0.178	0.167	4.96	0.8	0.135
0.178	0.167	4.96	0.8	0.135
0.178	0.167	4.96	0.8	0.135
0.179	0.167	4.96	0.8	0.136
0.179	0.167	4.95	0.8	0.136
0.179	0.167	4.95	0.8	0.136
0.18	0.167	4.95	0.8	0.136
0.18	0.167	4.95	0.8	0.136
0.18	0.167	4.97	0.8	0.137
0.18	0.167	4.95	0.8	0.137
0.181	0.167	4.96	0.8	0.137
0.181	0.167	4.95	0.8	0.137
0.181	0.167	4.94	0.8	0.138
0.182	0.167	4.96	0.8	0.138
0.182	0.167	4.96	0.8	0.138
0.182	0.167	4.95	0.8	0.138
0.182	0.167	4.95	0.8	0.138
0.183	0.167	4.96	0.8	0.139
0.183	0.167	4.95	0.8	0.139
0.183	0.167	4.97	0.8	0.139
0.184	0.167	4.95	0.8	0.139
0.184	0.167	4.97	0.8	0.14
0.184	0.167	4.96	0.8	0.14
0.184	0.167	4.96	0.8	0.14
0.185	0.167	4.95	0.8	0.14
0.185	0.167	4.96	0.8	0.14
0.185	0.167	4.95	0.8	0.141
0.186	0.167	4.95	0.8	0.141
0.186	0.167	4.95	0.8	0.141
0.186	0.167	4.96	0.8	0.141
0.186	0.167	4.96	0.8	0.142
0.187	0.167	4.96	0.8	0.142
0.187	0.167	4.95	0.8	0.142
0.187	0.167	4.95	0.8	0.142
0.187	0.167	4.96	0.8	0.142
0.188	0.167	4.96	0.8	0.143
0.188	0.167	4.97	0.8	0.143
0.188	0.167	4.96	0.8	0.143
0.189	0.167	4.96	0.8	0.143
0.189	0.167	4.96	0.8	0.144
0.189	0.167	4.96	0.8	0.144
0.189	0.167	4.95	0.8	0.144
0.19	0.167	4.96	0.8	0.144
0.19	0.167	4.96	0.8	0.144
0.19	0.167	4.96	0.8	0.145
0.191	0.167	4.96	0.8	0.145
0.191	0.167	4.96	0.8	0.145
0.191	0.167	4.96	0.8	0.145
0.191	0.167	4.96	0.8	0.146
0.192	0.167	4.95	0.8	0.146
0.192	0.167	4.95	0.8	0.146
0.192	0.167	4.96	0.8	0.146
0.193	0.167	4.95	0.8	0.146
0.193	0.183	4.95	0.8	0.147
0.193	0.183	4.95	0.8	0.147
0.193	0.183	4.96	0.8	0.147
0.194	0.183	4.95	0.8	0.147
0.194	0.183	4.95	0.8	0.148
0.194	0.183	4.96	0.8	0.148
0.194	0.183	4.95	0.8	0.148
