Time [s]	Sensor 1: Pt1000-2wire @Keysight [°C]	Sensor 2: BME280 @I2C [°C]	Sensor 3: DS18B20 @GPIO [°C]	Sensor 4: DS18B20 @GPIO [°C]	Sensor 5: DS18B20 @GPIO [°C]	Sensor 6: OPUS20 @LAN [°C]
3.83	23.8232636	23.874643907905558	24.8125	25.0	24.75	23.522920608520508
8.69	23.8367489	23.854121524491347	24.625	24.9375	24.6875	23.522920608520508
13.23	23.8450665	23.848990929365392	24.6875	24.875	24.6875	23.522920608520508
17.79	23.8585947	23.85925211990834	24.625	24.875	24.625	23.522920608520508
22.31	23.8731584	23.874643907905558	24.625	24.875	24.625	23.522920608520508
26.89	23.8845764	23.869513311615446	24.625	24.8125	24.625	23.534320831298828
31.47	23.8893784	23.854121524491347	24.5	24.8125	24.5625	23.534320831298828
36.12	23.8952992	23.843860334530472	24.5625	24.75	24.5625	23.534320831298828
40.64	24.9400504	23.85925211990834	24.5	24.75	24.5625	23.534320831298828
45.28	25.9896651	23.864382715616376	24.5	24.75	24.5625	23.534320831298828
49.98	26.6152476	23.874643907905558	24.5	24.75	24.5	23.534320831298828
54.61	26.960221	23.90542749175802	24.5	24.6875	24.5	23.534320831298828
59.32	26.8843931	23.879774504486704	24.4375	24.6875	24.5	23.534320831298828
63.82	26.7581479	23.864382715616376	24.375	24.6875	24.5	23.534320831298828
68.39	26.6410512	23.895166295976377	24.4375	24.6875	24.5	23.534320831298828
72.97	26.5585139	23.874643907905558	24.375	24.625	24.5	23.534320831298828
77.51	26.4819146	23.879774504486704	24.375	24.625	24.4375	23.534320831298828
82.06	26.4125604	23.874643907905558	24.4375	24.625	24.4375	23.534320831298828
86.65	26.3258623	23.864382715616376	24.4375	24.625	24.4375	23.545717239379883
91.17	26.2362984	23.879774504486704	24.375	24.625	24.4375	23.545717239379883
95.65	26.1594511	23.864382715616376	24.375	24.5625	24.4375	23.545717239379883
100.25	26.0917204	23.874643907905558	24.375	24.5625	24.4375	23.545717239379883
104.75	26.0224998	23.874643907905558	24.3125	24.5625	24.375	23.545717239379883
109.29	25.9554715	23.854121524491347	24.3125	24.5625	24.375	23.545717239379883
113.83	25.8916331	23.869513311615446	24.3125	24.5625	24.375	23.545717239379883
118.35	25.8335055	23.874643907905558	24.5	24.6875	24.6875	23.545717239379883
122.87	25.7625853	23.874643907905558	24.6875	24.6875	24.6875	23.545717239379883
127.43	25.6990532	23.90029689372168	24.6875	24.6875	24.6875	23.545717239379883
131.96	25.6370312	23.895166295976377	24.6875	24.6875	24.625	23.545717239379883
136.49	25.5629321	23.874643907905558	24.625	24.625	24.5625	23.545717239379883
141.05	25.4942908	23.85925211990834	24.625	24.625	24.5625	23.545717239379883
145.58	25.4405376	23.854121524491347	24.5625	24.625	24.5625	23.542055130004883
150.22	25.3854657	23.848990929365392	24.5625	24.5625	24.5	23.542055130004883
154.68	25.3359177	23.843860334530472	24.5625	24.5625	24.5	23.542055130004883
159.19	25.2854977	23.843860334530472	24.5	24.5625	24.5	23.542055130004883
163.71	25.2290359	23.792554402188397	24.4375	24.5625	24.4375	23.542055130004883
168.3	25.1815976	23.792554402188397	24.4375	24.5	24.4375	23.542055130004883
172.76	25.1398192	23.78229321921244	24.375	24.5	24.4375	23.542055130004883
177.24	25.0938987	23.761770856752992	24.4375	24.5	24.4375	23.542055130004883
181.82	25.0496743	23.751509677269496	24.3125	24.5	24.4375	23.542055130004883
186.36	25.0101554	23.761770856752992	24.3125	24.5	24.375	23.542055130004883
190.87	24.9794366	23.777162628161022	24.375	24.5	24.375	23.542055130004883
195.41	24.9478536	23.818207364721456	24.375	24.4375	24.375	23.542055130004883
199.93	24.9124551	23.802815586328506	24.3125	24.4375	24.375	23.542055130004883
204.44	24.8788636	23.787423810554902	24.3125	24.4375	24.375	23.542055130004883
208.94	24.8483278	23.787423810554902	24.3125	24.4375	24.375	23.53839111328125
213.51	24.8256743	23.802815586328506	24.3125	24.4375	24.375	23.53839111328125
218.07	24.8010559	23.81307677163277	24.3125	24.4375	24.3125	23.53839111328125
222.6	24.7627442	23.787423810554902	24.25	24.4375	24.3125	23.53839111328125
227.11	24.7232347	23.772032037400642	24.25	24.375	24.3125	23.53839111328125
231.69	24.6878703	23.751509677269496	24.25	24.375	24.3125	23.53839111328125
236.22	24.6597321	23.73611791022704	24.1875	24.375	24.25	23.53839111328125
240.78	24.6372589	23.746379087964307	24.1875	24.375	24.25	23.53839111328125
245.36	24.6092985	23.746379087964307	24.25	24.375	24.25	23.53839111328125
249.89	24.5853238	23.756640266865723	24.1875	24.3125	24.25	23.53839111328125
254.38	24.5645776	23.751509677269496	24.1875	24.3125	24.25	23.53839111328125
258.88	24.5406291	23.730987321794963	24.1875	24.3125	24.25	23.53839111328125
263.43	24.5235175	23.741248498950153	24.125	24.3125	24.1875	23.53839111328125
267.99	24.5062851	23.761770856752992	24.0625	24.3125	24.1875	23.549795150756836
272.55	24.4818639	23.761770856752992	24.125	24.3125	24.1875	23.549795150756836
277.09	24.4570725	23.751509677269496	24.0625	24.25	24.1875	23.549795150756836
281.59	24.4273068	23.741248498950153	24.125	24.25	24.1875	23.549795150756836
286.1	24.3954437	23.715595558244967	24.125	24.25	24.1875	23.549795150756836
290.71	24.3708249	23.710464970977046	24.0625	24.25	24.1875	23.549795150756836
295.26	24.3383048	23.669420283311048	24.125	24.25	24.1875	23.549795150756836
299.81	24.3206325	23.69507321091951	24.125	24.25	24.1875	23.549795150756836
304.3	24.2987685	23.68481203900301	24.0625	24.25	24.1875	23.549795150756836
308.85	24.2885067	23.72072614580393	24.125	24.25	24.1875	23.549795150756836
313.34	24.274357	23.72072614580393	24.125	24.25	24.1875	23.549795150756836
317.9	24.2673475	23.725856733653927	24.0625	24.25	24.1875	23.549795150756836
322.46	24.2572303	23.730987321794963	24.0625	24.25	24.1875	23.549795150756836
326.94	24.2346242	23.715595558244967	24.125	24.25	24.1875	23.564865112304688
331.42	24.2264257	23.730987321794963	24.0625	24.25	24.1875	23.564865112304688
335.98	24.2253543	23.761770856752992	24.0625	24.25	24.1875	23.564865112304688
340.5	24.2187992	23.751509677269496	24.0625	24.25	24.125	23.564865112304688
345.02	24.2135131	23.756640266865723	24.0625	24.25	24.1875	23.564865112304688
349.59	24.2108852	23.761770856752992	24.0625	24.25	24.1875	23.564865112304688
354.12	24.2103406	23.761770856752992	24.125	24.25	24.1875	23.564865112304688
358.6	24.2015795	23.766901446931296	24.125	24.25	24.1875	23.564865112304688
363.08	24.1881065	23.792554402188397	24.0625	24.25	24.1875	23.564865112304688
367.59	24.1825239	23.792554402188397	24.0625	24.25	24.125	23.564865112304688
372.15	24.1805536	23.792554402188397	24.0625	24.25	24.125	23.564865112304688
376.7	24.176479	23.797684994112934	24.0	24.25	24.125	23.564865112304688
381.25	24.1726714	23.797684994112934	24.0	24.25	24.125	23.564865112304688
